angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Dnu,numax,DPi1,dnurot,e_dnurot,Ncomp,Simbad,_RA,_DE,log(g),corerot,,[Fe/H],corerot
0.04726,296.09482,44.35459,8377962, ,4915,3.033,-0.06,6.232,1.528,0.00889,1987.482,0.561,DSEP,,1,Simbad,296.09482,44.35459,296.0948019,44.3545878,8377962,10.98,131.9,76.8,0,1.97,1,Simbad,296.0948,44.35459,3.033,0,,-0.06,0
0.061264,299.16965,43.86186,8053949, ,4801,2.755,0.07,9.726,1.961,0.003,1198.369,0.616,DSEP,,1,Simbad,299.16965,43.86186,299.1696728,43.8618644,8053949,6.53,70.82,69.92,235,7.43,2,Simbad,299.16967,43.86186,2.755,470,,0.07,470
0.108079,299.19824,43.85081,8054055, ,4795,3.011,0.16,6.418,1.542,0.00821,1034.585,0.572,DSEP,,1,Simbad,299.19824,43.85081,299.1982769,43.8507961,8054055,10.47,123.91,76.2,0,7.78,1,Simbad,299.19828,43.8508,3.011,0,,0.16,0
0.089159,295.00711,48.40937,10982591, ,5089,3.24,-0.08,5.183,1.705,0.0172,1672.096,0.441,DSEP,,1,Simbad,295.00711,48.40937,295.0070728,48.4093719,10982591,16.58,206.69,88.7,0,1.63,1,Simbad,295.00707,48.40937,3.24,0,,-0.08,0
0.021113,299.44583,43.82146,8055108, ,4964,2.983,-0.14,6.788,1.617,0.00728,1051.292,0.583,DSEP,,1,Simbad,299.44583,43.82146,299.4458231,43.8214569,8055108,9.21,115.11,65.1,120,4.07,3,Simbad,299.44582,43.82146,2.983,240,,-0.14,240
0.053231,280.93802,43.49328,7730215, ,4856,2.966,-0.1,6.259,1.322,0.00759,1542.16,0.281,DSEP,,1,Simbad,280.93802,43.49328,280.9380222,43.4932653,7730215,9.81,110.49,75.6,210,6.26,3,Simbad,280.93802,43.49327,2.966,420,,-0.1,420
0.103656,286.6976,38.28695,3100164, ,5122,2.886,0.07,9.828,2.707,0.00402,3847.181,0.411,DSEP,,1,Simbad,286.6976,38.28695,286.6976344,38.28696,3100164,8.61,90.98,74.1,140,6.37,2,Simbad,286.69763,38.28696,2.886,280,,0.07,280
0.034213,290.13785,39.75405,4649441, ,5067,3.216,-0.06,5.338,1.711,0.0158,2207.809,0.475,DSEP,,1,Simbad,290.13785,39.75405,290.1378469,39.7540592,4649441,15.63,199.44,86.9,405,7.33,3,Simbad,290.13785,39.75406,3.216,810,,-0.06,810
0.075249,300.17896,43.83316,8058062, ,4929,3.065,-0.26,4.976,1.05,0.012,1138.616,0.628,DSEP,,1,Simbad,300.17896,43.83316,300.1789806,43.8331453,8058062,11.86,140.95,79.3,180,4.78,2,Simbad,300.17898,43.83315,3.065,360,,-0.26,360
0.052134,293.98541,44.77322,8630459, ,4970,3.192,-0.12,4.901,1.363,0.0163,1656.662,0.483,DSEP,,1,Simbad,293.98541,44.77322,293.9854203,44.7732075,8630459,15.1,190.22,86.9,0,9.62,1,Simbad,293.98542,44.77321,3.192,0,,-0.12,0
0.079434,294.03421,44.71105,8630587, ,5044,3.085,0.21,7.095,2.231,0.0088,2076.471,0.488,DSEP,,1,Simbad,294.03421,44.71105,294.0342253,44.7110692,8630587,11.99,147.31,79.1,355,0.73,3,Simbad,294.03423,44.71107,3.085,710,,0.21,710
0.091532,297.12,44.37907,8381622, ,5039,2.993,-0.62,5.043,0.912,0.01,1783.515,0.593,DSEP,,1,Simbad,297.12,44.37907,297.1199653,44.3790644,8381622,10.63,119.48,77.7,250,7.15,3,Simbad,297.11997,44.37906,2.993,500,,-0.62,500
0.068671,290.55701,39.71999,4650936, ,5233,3.208,-0.08,5.918,2.062,0.014,2035.721,0.488,DSEP,,1,Simbad,290.55701,39.71999,290.5570233,39.7199739,4650936,15.03,193.44,85,320,6.49,3,Simbad,290.55702,39.71997,3.208,640,,-0.08,640
0.008531,280.38235,43.98198,8073887, ,4837,3.197,0.22,5.129,1.51,0.0158,1294.745,0.273,DSEP,,1,Simbad,280.38235,43.98198,280.3823469,43.9819808,8073887,14.68,189.87,84.2,450,6.02,2,Simbad,280.38235,43.98198,3.197,900,,0.22,900
0.033526,282.74939,43.49306,7733106, ,4895,3.159,0.06,5.301,1.48,0.014,1316.119,0.3,DSEP,,1,Simbad,282.74939,43.49306,282.7493997,43.4930661,7733106,13.08,169.8,79.45,0,9.91,1,Simbad,282.7494,43.49307,3.159,0,,0.06,0
0.025014,297.75055,48.40018,10989961, ,4849,2.805,-0.22,7.45,1.293,0.0044,1570.151,0.503,DSEP,,1,Simbad,297.75055,48.40018,297.7505581,48.4001756,10989961,7.55,78.05,71.6,345,7.11,3,Simbad,297.75056,48.40018,2.805,690,,-0.22,690
0.165457,292.49463,49.27461,11404111, ,5274,3.186,-0.24,5.983,2.003,0.0132,2312.839,0.383,DSEP,,1,Simbad,292.49463,49.27461,292.4946992,49.2746186,11404111,14.28,178.98,83.4,255,7.51,3,Simbad,292.4947,49.27462,3.186,510,,-0.24,510
0.061459,292.51401,49.25102,11404149, ,4973,3.263,0.4,5.501,2.021,0.0171,1809.487,0.384,DSEP,,1,Simbad,292.51401,49.25102,292.5140358,49.2510228,11404149,16.5,217.72,86.5,285,6.15,3,Simbad,292.51404,49.25102,3.263,570,,0.4,570
0.017029,295.55969,39.00579,3970635, ,4789,2.75,-0.1,8.5,1.483,0.0034,1948.786,0.721,DSEP,,1,Simbad,295.55969,39.00579,295.5596928,39.0057858,3970635,6.72,67.07,70,0,9.52,1,Simbad,295.55969,39.00579,2.75,0,,-0.1,0
0.064857,292.83777,49.24706,11404803, ,5076,3.257,0.14,5.48,1.978,0.0169,2059.031,0.389,DSEP,,1,Simbad,292.83777,49.24706,292.8377881,49.2470736,11404803,16.31,214.04,87,170,3.83,2,Simbad,292.83779,49.24707,3.257,340,,0.14,340
0.087194,298.62991,44.36871,8387668, ,4898,3.355,-0.2,3.281,0.89,0.0355,1064.37,0.557,DSEP,,1,Simbad,298.62991,44.36871,298.6299114,44.3687342,8387668,17.73,222.38,90.9,0,0.26,1,Simbad,298.62991,44.36873,3.355,0,,-0.2,0
0.032297,295.9639,44.79964,8636389, ,4934,2.961,-0.28,5.895,1.158,0.00796,1368.943,0.526,DSEP,,1,Simbad,295.9639,44.79964,295.9639036,44.7996314,8636389,9.73,108.11,75.91,250,3.91,3,Simbad,295.9639,44.79963,2.961,500,,-0.28,500
0.060455,299.66324,44.37616,8391545, ,4888,3.11,-0.02,5.443,1.392,0.0121,1316.645,0.642,DSEP,,1,Simbad,299.66324,44.37616,299.6632547,44.3761469,8391545,12.83,157.41,80.4,0,3.5,1,Simbad,299.66325,44.37615,3.11,0,,-0.02,0
0.059315,282.82343,43.93633,8077790, ,4835,3.075,0.06,5.708,1.412,0.0107,1296.831,0.298,DSEP,,1,Simbad,282.82343,43.93633,282.8234278,43.9363136,8077790,11.82,142.95,79,410,4.87,3,Simbad,282.82343,43.93631,3.075,820,,0.06,820
0.060341,293.49561,39.73267,4660930, ,5249,3.16,0.07,6.582,2.282,0.0113,2398.69,0.596,DSEP,,1,Simbad,293.49561,39.73267,293.4955889,39.7326658,4660930,13.32,167.97,80.3,0,4.08,1,Simbad,293.49559,39.73267,3.16,0,,0.07,0
0.049987,296.04712,39.08731,3973247, ,4801,3.096,0.2,5.76,1.509,0.0111,1012.656,0.584,DSEP,,1,Simbad,296.04712,39.08731,296.0471328,39.0873003,3973247,12.37,150.55,81.2,380,4.67,3,Simbad,296.04713,39.0873,3.096,760,,0.2,760
0.01644,289.7272,38.21668,3109742, ,5038,2.919,-0.24,7.825,1.854,0.00545,2965.054,0.493,DSEP,,1,Simbad,289.7272,38.21668,289.7271942,38.2166803,3109742,9.16,101.27,71.82,0,9.3,1,Simbad,289.72719,38.21668,2.919,0,,-0.24,0
0.154639,283.15164,47.70502,10517360, ,5222,3.217,-0.02,5.891,2.083,0.0143,2289.005,0.281,DSEP,,1,Simbad,283.15164,47.70502,283.1516956,47.7049989,10517360,15.21,195.31,85.1,205,2.89,2,Simbad,283.1517,47.705,3.217,410,,-0.02,410
0.097268,293.92706,39.78049,4662555, ,5016,3.27,0.07,4.963,1.672,0.0193,861.63,0.479,DSEP,,1,Simbad,293.92706,39.78049,293.9270422,39.7804667,4662555,15.94,216.74,85.8,270,1.51,3,Simbad,293.92704,39.78047,3.27,540,,0.07,540
0.058561,284.6738,43.92203,8081497, ,4874,2.899,-0.42,5.428,0.853,0.00751,1901.973,0.321,DSEP,,1,Simbad,284.6738,43.92203,284.6738064,43.9220144,8081497,9.05,95.92,75.8,520,5.48,3,Simbad,284.67381,43.92201,2.899,1040,,-0.42,1040
0.04269,290.15897,38.2074,3111456, ,5069,3.23,-0.1,5.124,1.626,0.017,1793.903,0.506,DSEP,,1,Simbad,290.15897,38.2074,290.1589792,38.2073906,3111456,15.52,199.73,87,0,6.2,1,Simbad,290.15898,38.20739,3.23,0,,-0.1,0
0.039621,285.517,47.7083,10521711, ,5079,3.064,0,7.033,2.091,0.00846,1802.891,0.305,DSEP,,1,Simbad,285.517,47.7083,285.5170139,47.7083058,10521711,11.43,138.4,78.1,0,1.38,1,Simbad,285.51701,47.70831,3.064,0,,0,0
0.073711,294.41489,39.79959,4664515, ,4960,3.213,-0.4,3.788,0.854,0.0221,827.228,0.475,DSEP,,1,Simbad,294.41489,39.79959,294.4149092,39.7995758,4664515,15.66,187.34,86.3,330,5.46,3,Simbad,294.41491,39.79958,3.213,660,,-0.4,660
0.062941,290.26022,38.21504,3111831, ,4727,2.991,0.36,6.842,1.673,0.00736,1955.519,0.51,DSEP,,1,Simbad,290.26022,38.21504,290.2601981,38.2150369,3111831,10.41,123.17,78.6,0,10.73,1,Simbad,290.2602,38.21504,2.991,0,,0.36,0
0.091099,296.60538,49.21093,11413393, ,4774,2.759,-0.32,6.447,0.871,0.00458,1320.896,0.453,DSEP,,1,Simbad,296.60538,49.21093,296.6053792,49.2109047,11413393,6.83,70.02,68.6,440,4.45,3,Simbad,296.60538,49.2109,2.759,880,,-0.32,880
0.042417,287.64944,47.73247,10525595, ,5035,2.973,-0.04,7.784,2.078,0.0062,1029.944,0.325,DSEP,,1,Simbad,287.64944,47.73247,287.6494542,47.7324769,10525595,9.5,116.62,79.9,330,6.63,3,Simbad,287.64945,47.73248,2.973,660,,-0.04,660
0.050035,295.19815,39.70278,4667909, ,4757,3.049,0.56,7.028,2.017,0.00818,1220.494,0.603,DSEP,,1,Simbad,295.19815,39.70278,295.1981333,39.7027747,4667909,11.63,139.35,73.1,340,7.23,3,Simbad,295.19813,39.70277,3.049,680,,0.56,680
0.070139,287.50406,43.99638,8086682, ,5071,2.844,0.07,10.31,2.707,0.00348,4395.179,0.361,DSEP,,1,Simbad,287.50406,43.99638,287.5040575,43.9963606,8086682,8.03,85.98,71.25,100,5.5,3,Simbad,287.50406,43.99636,2.844,200,,0.07,200
0.110676,295.4726,39.79156,4669118, ,4859,3.064,-0.22,4.701,0.935,0.0127,1164.149,0.598,DSEP,,1,Simbad,295.4726,39.79156,295.4725703,39.7915394,4669118,11.87,142.38,80.9,320,6.21,3,Simbad,295.47257,39.79154,3.064,640,,-0.22,640
0.099976,287.68332,43.91238,8087067, ,4861,2.894,0.02,7.794,1.736,0.00516,1288.534,0.363,DSEP,,1,Simbad,287.68332,43.91238,287.6832842,43.9123903,8087067,9.04,100.46,74.3,0,3.66,1,Simbad,287.68328,43.91239,2.894,0,,0.02,0
0.107059,290.73346,38.26781,3113648, ,4663,2.845,0.22,7.553,1.455,0.00476,1708.33,0.522,DSEP,,1,Simbad,290.73346,38.26781,290.7334228,38.2678156,3113648,8.11,86.97,72.4,115,5.46,3,Simbad,290.73342,38.26782,2.845,230,,0.22,230
0.066453,299.23605,44.77134,8648759, ,4980,3.163,-0.26,4.522,1.087,0.0166,1123.327,0.578,DSEP,,1,Simbad,299.23605,44.77134,299.2360639,44.7713556,8648759,14.12,175.74,83.5,0,10.79,1,Simbad,299.23606,44.77136,3.163,0,,-0.26,0
0.116683,291.14551,38.23136,3115292, ,5028,3.097,0.16,6.857,2.142,0.00936,2408.244,0.542,DSEP,,1,Simbad,291.14551,38.23136,291.1454803,38.2313375,3115292,12.35,150.62,80.4,320,6.76,2,Simbad,291.14548,38.23134,3.097,640,,0.16,640
0.099178,297.27078,39.71702,4678118, ,4848,2.774,-0.42,6.476,0.909,0.00471,1168.051,0.656,DSEP,,1,Simbad,297.27078,39.71702,297.2708158,39.7170208,4678118,7.49,74.01,71,220,7.75,2,Simbad,297.27082,39.71702,2.774,440,,-0.42,440
0.02958,289.26511,39.18086,4048951, ,4822,2.997,-0.1,5.428,1.067,0.00939,616.673,0.343,DSEP,,1,Simbad,289.26511,39.18086,289.2651206,39.18086,4048951,10.5,119.06,77.9,225,4.25,3,Simbad,289.26512,39.18086,2.997,450,,-0.1,450
0.023829,291.40619,39.18429,4056579, ,4915,3.063,0.2,6.877,1.996,0.00864,2055.668,0.528,DSEP,,1,Simbad,291.40619,39.18429,291.4061969,39.1842861,4056579,12,141.43,81.5,305,3.45,3,Simbad,291.4062,39.18429,3.063,610,,0.2,610
0.074179,284.03543,39.87534,4726049, ,4991,3.312,-0.1,4.186,1.313,0.0252,711.947,0.313,DSEP,,1,Simbad,284.03543,39.87534,284.0354306,39.8753194,4726049,18,234.13,88.6,0,5.77,1,Simbad,284.03543,39.87532,3.312,0,,-0.1,0
0.088412,292.11465,38.28484,3119555, ,4774,2.848,0.18,8.541,1.874,0.00424,1426.201,0.559,DSEP,,1,Simbad,292.11465,38.28484,292.1146219,38.2848292,3119555,7.7,84.02,70.4,0,5.92,1,Simbad,292.11462,38.28483,2.848,0,,0.18,0
0.098881,285.88953,39.83361,4729920, ,4952,3.111,-0.44,4.243,0.848,0.0156,1150.405,0.371,DSEP,,1,Simbad,285.88953,39.83361,285.8895117,39.8335864,4729920,13.41,154.78,82.6,310,2.37,2,Simbad,285.88951,39.83359,3.111,620,,-0.44,620
0.014365,286.19919,39.86017,4730648, ,5004,3.035,-0.6,4.574,0.827,0.0122,1618.578,0.381,DSEP,,1,Simbad,286.19919,39.86017,286.1991889,39.8601739,4730648,11.91,134.58,80.6,300,3.63,2,Simbad,286.19919,39.86017,3.035,600,,-0.6,600
0.042259,286.36966,44.44226,8418309, ,4854,2.986,-0.02,6.44,1.464,0.00772,1564.675,0.339,DSEP,,1,Simbad,286.36966,44.44226,286.3696481,44.4422519,8418309,10.2,115.26,87.5,155,9.88,3,Simbad,286.36965,44.44225,2.986,310,,-0.02,310
0.104097,290.73779,49.31181,11453225, ,4777,2.881,0.12,7.664,1.629,0.0051,1957.57,0.356,DSEP,,1,Simbad,290.73779,49.31181,290.7378322,49.3118011,11453225,8.4,91.25,73.6,360,0.85,2,Simbad,290.73783,49.3118,2.881,720,,0.12,720
0.038631,292.11984,43.97487,8098454, ,4839,3.276,0.38,4.846,1.616,0.02,1189.391,0.439,DSEP,,1,Simbad,292.11984,43.97487,292.1198264,43.9748744,8098454,17.19,222.92,88.4,180,2.97,2,Simbad,292.11983,43.97487,3.276,360,,0.38,360
0.03774,286.88327,39.81669,4732137, ,4836,3.18,0.18,5.157,1.469,0.0151,1180.384,0.39,DSEP,,1,Simbad,286.88327,39.81669,286.8832578,39.8166853,4732137,14.44,186.19,83.8,405,4.68,2,Simbad,286.88326,39.81669,3.18,810,,0.18,810
0.055118,287.74899,44.42684,8420916, ,4922,2.805,0.21,10.552,2.592,0.00311,2231.503,0.36,DSEP,,1,Simbad,287.74899,44.42684,287.7489892,44.4268553,8420916,7.29,77.18,68.4,245,6.87,2,Simbad,287.74899,44.42686,2.805,490,,0.21,490
0.060949,287.76947,44.4822,8420954, ,5007,2.842,0.07,10.068,2.566,0.00354,2915.08,0.36,DSEP,,1,Simbad,287.76947,44.4822,287.7694661,44.4822167,8420954,7.96,85.05,72.3,395,3.14,2,Simbad,287.76947,44.48222,2.842,790,,0.07,790
0.07817,292.17703,43.94633,8098608, ,4851,3.013,0.1,6.571,1.622,0.00806,1424.269,0.45,DSEP,,1,Simbad,292.17703,43.94633,292.1770086,43.9463453,8098608,10.8,126.13,78.4,0,6.63,1,Simbad,292.17701,43.94635,3.013,0,,0.1,0
0.067051,292.44788,43.94269,8099364, ,5045,3.229,-0.18,4.843,1.451,0.018,1730.309,0.46,DSEP,,1,Simbad,292.44788,43.94269,292.4478861,43.9426719,8099364,16.49,206.44,88,260,6.97,3,Simbad,292.44789,43.94267,3.229,520,,-0.18,520
0.040255,284.16742,44.89821,8673261, ,5160,3.018,0.07,8.158,2.531,0.00656,2788.777,0.308,DSEP,,1,Simbad,284.16742,44.89821,284.1674339,44.8982047,8673261,10.34,126.28,78.5,0,6.82,1,Simbad,284.16743,44.8982,3.018,0,,0.07,0
0.254286,289.1355,44.4984,8423708, ,4855,3.094,0.18,6.022,1.642,0.0106,1443.889,0.382,DSEP,,1,Simbad,289.1355,44.4984,289.1354764,44.4983314,8423708,12.06,148.17,79.25,305,5.27,2,Simbad,289.13548,44.49833,3.094,610,,0.18,610
0.050814,293.84671,39.17965,4066074, ,4895,2.933,-0.44,5.214,0.849,0.00844,1669.512,0.616,DSEP,,1,Simbad,293.84671,39.17965,293.8466925,39.1796461,4066074,9.62,104.16,76.4,355,7.4,2,Simbad,293.84669,39.17965,2.933,710,,-0.44,710
0.119259,289.71555,44.43383,8425211, ,5180,3.211,0.08,5.972,2.116,0.014,2017.094,0.394,DSEP,,1,Simbad,289.71555,44.43383,289.7155044,44.4338239,8425211,14.66,195.86,82.3,0,0.88,1,Simbad,289.7155,44.43382,3.211,0,,0.08,0
0.053151,293.89307,39.1182,4066278, ,4852,2.992,0.18,7.23,1.873,0.00698,1263.296,0.582,DSEP,,1,Simbad,293.89307,39.1182,293.8930658,39.1181856,4066278,10.16,121.83,74.8,140,7.51,3,Simbad,293.89307,39.11819,2.992,280,,0.18,280
0.05918,284.6481,44.83178,8674172, ,4836,3.023,-0.12,5.214,1.046,0.0104,1413.981,0.314,DSEP,,1,Simbad,284.6481,44.83178,284.6481064,44.8317642,8674172,11.06,125.72,79,0,0.57,1,Simbad,284.64811,44.83176,3.023,0,,-0.12,0
0.041428,290.28409,44.41579,8426672, ,4957,3.224,0.02,4.966,1.506,0.0173,1047.361,0.391,DSEP,,1,Simbad,290.28409,44.41579,290.2840922,44.4157786,8426672,14.91,194.94,83.9,485,8.78,2,Simbad,290.28409,44.41578,3.224,970,,0.02,970
0.09,293.07498,38.22137,3123653, ,4894,2.914,-0.38,5.599,0.938,0.00753,1501.134,0.602,DSEP,,1,Simbad,293.07498,38.22137,293.07498,38.221345,3123653,9.16,97.3,74.7,305,1.45,2,Simbad,293.07498,38.22134,2.914,610,,-0.38,610
0.079623,290.82697,44.41412,8428095, ,4823,2.667,0.07,11.613,2.285,0.00206,2531.073,0.416,DSEP,,1,Simbad,290.82697,44.41412,290.8269439,44.4141081,8428095,5.44,56.46,72.45,145,5.31,2,Simbad,290.82694,44.41411,2.667,290,,0.07,290
0.060249,291.5076,44.44822,8429977, ,5044,3.037,-0.22,6.469,1.663,0.00865,2306.178,0.43,DSEP,,1,Simbad,291.5076,44.44822,291.5075775,44.4482247,8429977,11.01,131.84,76.9,0,0.45,1,Simbad,291.50758,44.44822,3.037,0,,-0.22,0
0.05293,295.96631,43.96293,8110026, ,4893,2.755,-0.32,8.279,1.422,0.00353,2968.661,0.569,DSEP,,1,Simbad,295.96631,43.96293,295.9662986,43.9629178,8110026,7.2,70.1,71.2,0,7.23,1,Simbad,295.9663,43.96292,2.755,0,,-0.32,0
0.08537,294.31937,38.25146,3129312, ,4781,3.092,0.06,4.926,1.096,0.0129,1252.838,0.616,DSEP,,1,Simbad,294.31937,38.25146,294.3193428,38.2514703,3129312,12.69,150.18,82.6,300,4.49,2,Simbad,294.31934,38.25147,3.092,600,,0.06,600
0.086585,291.93106,44.42543,8431083, ,5036,3.005,-0.26,6.855,1.734,0.00758,2755.88,0.44,DSEP,,1,Simbad,291.93106,44.42543,291.9310719,44.4254525,8431083,10.93,122.43,79.2,570,6.84,2,Simbad,291.93107,44.42545,3.005,1140,,-0.26,1140
0.03142,292.7413,39.87562,4749874, ,4687,3.167,0.36,4.966,1.321,0.0152,1061.165,0.503,DSEP,,1,Simbad,292.7413,39.87562,292.7412889,39.8756181,4749874,13.74,181.8,81.3,0,10.01,1,Simbad,292.74129,39.87562,3.167,0,,0.36,0
0.072334,296.19943,43.90526,8110809, ,5126,3.201,-0.26,5.218,1.579,0.0157,2059.695,0.578,DSEP,,1,Simbad,296.19943,43.90526,296.1994031,43.9052653,8110809,15.2,187.91,86.1,340,1.07,2,Simbad,296.1994,43.90527,3.201,680,,-0.26,680
0.064968,287.19537,44.85943,8678638, ,5051,3.17,0.1,5.853,1.847,0.013,1371.816,0.347,DSEP,,1,Simbad,287.19537,44.85943,287.1953572,44.8594144,8678638,14.82,189.5,84.3,320,8.11,3,Simbad,287.19536,44.85941,3.17,640,,0.1,640
0.021862,296.42111,43.97311,8111555, ,4907,3.061,0.07,6.313,1.674,0.00937,2236.266,0.586,DSEP,,1,Simbad,296.42111,43.97311,296.4211125,43.9731042,8111555,11.33,141.39,77.4,680,5.56,2,Simbad,296.42111,43.9731,3.061,1360,,0.07,1360
