angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0,291.54425,39.27449,4157276, ,4889,2.531,-0.32,12.63,1.978,0.00138,2878.974,0.531,DSEP,,1,Simbad,291.54425,39.27449,291.54425,39.27449,4157276,39.56,2.04,4.36,0.13,4994,171,2.52,0.03,1.61,0.19,49.76,4.6,0.99,6.81,0,0,291.54425,39.27449
0.003996,292.62207,48.53671,11031234, ,5328,2.358,-0.5,18.832,2.947,6.21E-04,5409.19,0.395,DSEP,,1,Simbad,292.62207,48.53671,292.62207,48.53670889,11031234,29.02,1.85,4.06,1.73,5328,338,2.4,0.04,0.93,0.8,65.66,4.95,1,7.32,0,0,292.62207,48.536709
0,286.40744,47.14254,10128629, ,5018,2.483,0.07,17.342,3.335,9.01E-04,3304.749,0.319,DSEP,,1,Simbad,286.40744,47.14254,286.40744,47.14254,10128629,37.99,1.93,4.23,0.13,5016,231,2.5,0.03,1.62,0.2,77.01,8.33,1,7.02,7.85,1.3,286.40744,47.14254
0.003996,292.16776,37.39372,1871631, ,4777,2.343,-0.32,15.697,1.98,7.21E-04,5049.54,0.609,DSEP,,1,Simbad,292.16776,37.39372,292.16776,37.39371889,1871631,29.29,2.15,3.71,0.11,4823,108,2.38,0.03,1.18,0.17,44.54,3.08,0.99,8.01,0,0,292.16776,37.393719
0,296.85648,49.45649,11518639, ,5254,2.626,0.07,15.025,3.481,0.00145,6445.825,0.464,DSEP,,1,Simbad,296.85648,49.45649,296.85648,49.45649,11518639,46.91,4.61,4.68,0.09,5254,419,2.6,0.05,2.18,0.44,123.34,6,0.99,6.35,0,0,296.85648,49.45649
0.003996,286.81909,45.27443,8941031, ,4661,2.317,-0.22,14.856,1.671,7.18E-04,2398.52,0.339,DSEP,,1,Simbad,286.81909,45.27443,286.81909,45.27442889,8941031,26.35,2.13,3.62,0.12,4935,217,2.34,0.04,0.98,0.16,53.33,3.94,1,8.2,8.73,1.48,286.81909,45.274429
0.003996,295.23758,48.5034,11037219, ,5078,2.951,0.21,9.021,2.653,0.00509,754.319,0.375,DSEP,,1,Simbad,295.23758,48.5034,295.23758,48.50339889,11037219,100.21,13.8,8.52,0.25,4995,127,2.92,0.06,1.8,0.45,133.16,4.81,1,3.49,0,0,295.23758,48.503399
0.003996,292.79092,45.95754,9406426, ,4698,2.376,-0.08,15.446,2.068,7.91E-04,2767.122,0.435,DSEP,,1,Simbad,292.79092,45.95754,292.79092,45.95753889,9406426,28.48,1.75,3.86,0.8,5014,248,2.38,0.03,0.98,0.43,106.66,9,1,7.69,0,0,292.79092,45.957539
0.006984,293.41208,39.2157,4165204, ,4960,2.326,-0.5,18.296,2.584,5.94E-04,5934.118,0.609,DSEP,,1,Simbad,293.41208,39.2157,293.41208,39.21569806,4165204,29.29,1.66,3.68,0.13,4960,179,2.39,0.03,1.28,0.16,50.11,4.34,0.99,8.07,0,0,293.41208,39.215698
0.006984,293.30798,45.92819,9407690, ,5143,2.377,-0.5,18.018,2.818,6.79E-04,7212.588,0.447,DSEP,,1,Simbad,293.30798,45.92819,293.30798,45.92818806,9407690,29.87,1.92,4.15,0.18,5143,296,2.4,0.03,0.88,0.14,105.19,5.19,1,7.16,0,0,293.30798,45.928188
0.003996,288.67419,50.60164,12106089, ,5185,2.356,-0.5,19.309,3.084,6.03E-04,6783.233,0.319,DSEP,,1,Simbad,288.67419,50.60164,288.67419,50.60163889,12106089,29.71,1.83,4.13,2.06,5185,277,2.4,0.03,0.9,0.9,62.55,5.89,1,7.19,0,0,288.67419,50.601639
0.003996,292.62946,38.57492,3448282, ,4891,2.389,0.21,20.061,3.592,6.27E-04,3884.655,0.594,DSEP,,1,Simbad,292.62946,38.57492,292.62946,38.57492111,3448282,30.45,1.54,3.59,0.09,4891,241,2.4,0.03,1.55,0.18,55.98,4.69,0.99,8.27,0,0,292.62946,38.574921
0,295.17755,46.40012,9718692, ,4857,2.409,0.07,18.548,3.215,7.10E-04,6568.431,0.484,DSEP,,1,Simbad,295.17755,46.40012,295.17755,46.40012,9718692,30.88,1.89,3.84,0.52,4857,187,2.41,0.03,1.22,0.36,17.96,1.36,0.99,7.73,0,0,295.17755,46.40012
0,287.08536,43.4268,7741179, ,4999,2.364,-0.82,14.761,1.838,8.05E-04,2114.172,0.36,DSEP,,1,Simbad,287.08536,43.4268,287.08536,43.4268,7741179,29.5,1.91,3.86,0.17,5250,330,2.4,0.04,1.17,0.19,66.57,7.52,1,7.69,0,0,287.08536,43.4268
0,291.19052,45.21769,8951178, ,5033,2.945,-0.08,8.012,2.064,0.00565,1196.602,0.405,DSEP,,1,Simbad,291.19052,45.21769,291.19052,45.21769,8951178,107.74,4.53,8.41,0.18,5299,301,2.97,0.03,2.57,0.28,141.73,6.33,1,3.53,0,0,291.19052,45.21769
0,294.46292,47.15686,10148118, ,4915,2.704,0.07,11.903,2.615,0.00218,1207.503,0.439,DSEP,,1,Simbad,294.46292,47.15686,294.46292,47.15686,10148118,61.99,2.67,5.46,0.19,5172,281,2.72,0.03,2.66,0.32,89.69,9.09,1,5.44,0,0,294.46292,47.15686
0,292.37643,37.48666,2018667, ,4773,2.389,-0.24,14.992,2.009,8.40E-04,2213.722,0.615,DSEP,,1,Simbad,292.37643,37.48666,292.37643,37.48666,2018667,30.73,1.8,3.83,0.14,4773,123,2.4,0.03,1.19,0.15,65.67,3.52,0.99,7.75,0,0,292.37643,37.48666
0.003996,291.35001,45.28279,8951614, ,4800,2.342,-0.38,15.635,1.958,7.21E-04,5278.061,0.415,DSEP,,1,Simbad,291.35001,45.28279,291.35001,45.28279111,8951614,28.56,1.71,3.82,0.11,4800,116,2.37,0.03,0.97,0.12,105.68,4.6,0.99,7.78,0,0,291.35001,45.282791
0.006984,292.5347,37.43347,2019396, ,4790,2.482,-0.5,9.613,1.022,0.00162,1787.34,0.617,DSEP,,1,Simbad,292.5347,37.43347,292.5347,37.43347194,2019396,37.98,1.89,4.16,0.13,4790,100,2.49,0.02,1.62,0.18,63.86,8.7,0.99,7.14,0,0,292.5347,37.433472
