angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0.006984,292.01642,46.50363,9771031, ,4860,2.67,0.36,13.574,3.14,0.00177,2524.993,0.411,DSEP,,1,Simbad,292.01642,46.50363,292.01642,46.50363194,9771031,57.67,2.7,5.57,0.15,4860,185,2.68,0.02,1.8,0.19,16.44,1.18,0.99,5.33,0,0,292.01642,46.503632
0.003996,291.2157,39.32105,4260882, ,4946,2.338,-0.5,17.38,2.401,6.44E-04,3882.263,0.518,DSEP,,1,Simbad,291.2157,39.32105,291.2157,39.32104889,4260882,27.69,1.8,3.64,0.13,4946,173,2.36,0.03,1.12,0.16,85.44,6.72,1,8.16,0,0,291.2157,39.321049
0,284.62283,49.76141,11650041, ,4464,1.809,-0.62,18.972,0.845,1.74E-04,2877.383,0.284,DSEP,,1,Simbad,284.62283,49.76141,284.62283,49.76141,11650041,8.33,0.48,1.41,3.07,4683,193,1.83,0.03,1.25,5.44,52.96,7.87,0.99,21.06,0,0,284.62283,49.76141
0,290.1749,37.79837,2436732, ,4719,2.385,0.07,17.479,2.705,7.14E-04,6690.545,0.517,DSEP,,1,Simbad,290.1749,37.79837,290.1749,37.79837,2436732,30.34,1.76,3.7,0.11,4719,147,2.39,0.03,1.29,0.16,109.63,5.17,0.98,8.03,0,0,290.1749,37.79837
0.003996,291.54144,42.25068,6776494, ,5047,3.286,-0.16,4.484,1.417,0.0221,1720.137,0.467,DSEP,,1,Simbad,291.54144,42.25068,291.54144,42.25067889,6776494,235.15,13.87,17.71,0.04,5047,122,3.3,0.03,1.26,0.13,7.01,0.44,0.99,1.68,0,0,291.54144,42.250679
0.006984,295.2439,48.75548,11144816, ,5106,2.388,-0.5,17.456,2.712,7.18E-04,6427.261,0.442,DSEP,,1,Simbad,295.2439,48.75548,295.2439,48.75548194,11144816,28.95,2.1,3.9,1.58,5106,285,2.39,0.04,1.02,0.84,96.8,6.57,0.99,7.62,0,0,295.2439,48.755482
0.003996,295.27219,48.78684,11144902, ,5006,2.38,0.07,20.198,3.564,6.09E-04,5397.868,0.442,DSEP,,1,Simbad,295.27219,48.78684,295.27219,48.78683889,11144902,29.9,1.7,3.93,0.78,5006,295,2.4,0.03,1.06,0.44,98.19,4.37,0.98,7.56,0,0,295.27219,48.786839
0.003996,281.72079,41.8723,6418912, ,4614,2.379,0.56,19.586,3.349,6.28E-04,2382.439,0.298,DSEP,,1,Simbad,281.72079,41.8723,281.72079,41.87229889,6418912,31.05,2.44,3.68,0.47,4614,138,2.4,0.04,1.36,0.4,82.54,3.79,1,8.07,0,0,281.72079,41.872299
0.006984,292.51312,46.06473,9466520, ,4661,2.63,0.07,10.031,1.567,0.00219,2236.3,0.427,DSEP,,1,Simbad,292.51312,46.06473,292.51312,46.06473194,9466520,52.69,2.73,5.47,0.18,4885,170,2.64,0.03,1.49,0.18,123.37,6.05,0.98,5.43,0,0,292.51312,46.064732
0.003996,282.87604,48.87556,11175907, ,5028,2.511,0.07,16.74,3.312,9.94E-04,2574.069,0.272,DSEP,,1,Simbad,282.87604,48.87556,282.87604,48.87556111,11175907,39.31,2,4.33,0.12,5028,214,2.52,0.03,1.64,0.19,127.84,6,1,6.86,0,0,282.87604,48.875561
0.003996,282.96014,48.82788,11176016, ,4795,2.386,-0.3,14.968,1.987,8.35E-04,489.939,0.23,DSEP,,1,Simbad,282.96014,48.82788,282.96014,48.82788111,11176016,31.89,1.87,3.99,0.55,4795,112,2.42,0.03,1.13,0.33,127.06,5.54,1,7.44,0,0,282.96014,48.827881
0,290.45203,38.71579,3642135, ,4919,2.598,-0.3,11.715,1.985,0.00174,2207.725,0.506,DSEP,,1,Simbad,290.45203,38.71579,290.45203,38.71579,3642135,51.25,2.53,4.96,0.15,5060,175,2.64,0.02,2.13,0.24,144.72,7.1,1,5.99,0,0,290.45203,38.71579
0,285.12524,41.86755,6425652, ,4792,2.342,-0.36,15.657,1.965,7.21E-04,3300.923,0.343,DSEP,,1,Simbad,285.12524,41.86755,285.12524,41.86755,6425652,28.7,1.71,3.9,1.85,4939,199,2.38,0.03,0.95,0.9,53.32,2.65,1,7.62,6.48,1.54,285.12524,41.86755
0.003996,292.3429,37.7814,2447529, ,4945,2.949,0.14,8.118,2.137,0.00563,1200.511,0.554,DSEP,,1,Simbad,292.3429,37.7814,292.3429,37.78139889,2447529,106.95,4.87,8.38,0.18,5186,247,2.96,0.03,2.47,0.26,98.83,5.49,0.99,3.54,0,0,292.3429,37.781399
0.003996,290.28729,44.57092,8491073, ,4889,2.377,0.21,20.375,3.603,6.00E-04,4680.315,0.403,DSEP,,1,Simbad,290.28729,44.57092,290.28729,44.57091889,8491073,30.39,1.78,3.79,0.11,4889,226,2.4,0.03,1.24,0.16,57.56,9.25,0.99,7.84,0,0,290.28729,44.570919
0.006984,287.39771,41.89493,6430534, ,4794,2.343,0.07,19.994,3.212,5.66E-04,2268.412,0.381,DSEP,,1,Simbad,287.39771,41.89493,287.39771,41.89493194,6430534,27.53,1.82,3.62,0.09,4788,176,2.35,0.03,1.07,0.14,54.83,4.85,0.98,8.2,0,0,287.39771,41.894932
0.003996,293.58093,46.08322,9469212, ,4741,2.559,0.36,14.553,2.798,0.00128,2433.778,0.451,DSEP,,1,Simbad,293.58093,46.08322,293.58093,46.08322111,9469212,44.89,2.06,4.31,0.12,4931,282,2.57,0.03,2.42,0.29,68.44,6.69,0.99,6.89,0,0,293.58093,46.083221
0,289.68591,51.03286,12304485, ,4794,2.369,-0.38,14.563,1.81,8.25E-04,1246.238,0.327,DSEP,,1,Simbad,289.68591,51.03286,289.68591,51.03286,12304485,28.89,1.67,3.77,0.11,5000,236,2.38,0.03,1.13,0.15,53.33,3.8,1,7.88,0,0,289.68591,51.03286
0.003996,287.4024,47.3404,10264167, ,5216,3.402,-0.08,4.303,1.703,0.0301,579.92,0.278,DSEP,,1,Simbad,287.4024,47.3404,287.4024,47.34040111,10264167,176.24,35.82,14.6,0.3,5236,185,3.18,0.1,1.22,0.43,73.36,7.99,1,2.03,0,0,287.4024,47.340401
0.003996,289.63492,41.85147,6436304, ,4909,2.381,-0.5,15.382,2.072,8.02E-04,6041.454,0.428,DSEP,,1,Simbad,289.63492,41.85147,289.63492,41.85147111,6436304,29.27,1.77,3.94,0.13,5158,320,2.4,0.03,1.03,0.15,35.7,1.83,0.99,7.54,0,0,289.63492,41.851471
0.003996,294.92487,49.79761,11667928, ,4983,2.381,-0.5,16.804,2.478,7.36E-04,1705.094,0.418,DSEP,,1,Simbad,294.92487,49.79761,294.92487,49.79761111,11667928,31.86,1.71,3.88,0.15,4993,232,2.43,0.03,1.34,0.18,109.79,5.37,0.99,7.65,0,0,294.92487,49.797611
0.003996,295.45331,51.03571,12314910, ,4525,2.293,-0.22,11.156,0.892,9.05E-04,1169.942,0.4,DSEP,,1,Simbad,295.45331,51.03571,295.45331,51.03570889,12314910,24.13,1.19,2.91,0.08,4716,106,2.29,0.02,1.69,0.18,104.47,3.7,0.99,10.21,0,0,295.45331,51.035709
0.003996,290.26318,41.82256,6438228, ,5055,2.358,-0.5,19.029,3.014,6.16E-04,5848.697,0.443,DSEP,,1,Simbad,290.26318,41.82256,290.26318,41.82255889,6438228,28.15,1.84,3.84,0.5,5055,265,2.37,0.03,0.98,0.29,86.04,6.9,0.98,7.73,0,0,290.26318,41.822559
0.003996,291.22244,41.82693,6441172, ,4761,2.616,-0.14,10.183,1.564,0.00209,3029.569,0.467,DSEP,,1,Simbad,291.22244,41.82693,291.22244,41.82693111,6441172,50.89,2.66,5.38,0.15,5021,216,2.63,0.03,1.49,0.18,41.27,3.21,1,5.52,0,0,291.22244,41.826931
0.006984,296.57886,51.01985,12317483, ,4789,2.377,-0.36,14.461,1.817,8.46E-04,4550.369,0.431,DSEP,,1,Simbad,296.57886,51.01985,296.57886,51.01985194,12317483,30.14,1.64,3.73,0.9,4789,112,2.39,0.03,1.25,0.62,44.85,3.39,0.99,7.96,0,0,296.57886,51.019852
0.006984,285.15897,40.61635,5430086, ,4585,2.329,0.56,21.287,3.52,5.14E-04,3055.709,0.355,DSEP,,1,Simbad,285.15897,40.61635,285.15897,40.61634806,5430086,28.15,1.75,3.49,0.36,4501,116,2.35,0.03,1.21,0.28,72.35,7.19,1,8.51,6.41,0.83,285.15897,40.616348
0.003996,294.58313,47.33134,10281161, ,5233,3.208,-0.08,5.918,2.062,0.014,917.578,0.41,DSEP,,1,Simbad,294.58313,47.33134,294.58313,47.33134111,10281161,110.64,4.58,8.45,1.33,5237,201,2.98,0.02,2.68,0.88,106.66,5,1,3.51,0,0,294.58313,47.331341
0.006984,295.8432,48.80308,11199105, ,4759,2.39,0.36,20.008,3.583,6.30E-04,2520.955,0.454,DSEP,,1,Simbad,295.8432,48.80308,295.8432,48.80308194,11199105,30.62,1.91,3.87,0.57,4794,174,2.4,0.03,1.13,0.36,154.04,6.7,0.99,7.67,0,0,295.8432,48.803082
0,283.34692,42.93055,7340724, ,4880,3.052,0.04,6.143,1.552,0.00943,219.222,0.119,DSEP,,1,Simbad,283.34692,42.93055,283.34692,42.93055,7340724,125.02,6.13,10.59,0.28,4880,94,3.01,0.02,1.41,0.15,6.27,0.37,1,2.8,0,0,283.34692,42.93055
0.003996,294.89603,47.31809,10281965, ,4989,2.347,0.07,21.028,3.589,5.44E-04,2866.303,0.459,DSEP,,1,Simbad,294.89603,47.31809,294.89603,47.31808889,10281965,26.76,1.59,3.23,0.1,4989,243,2.35,0.03,1.65,0.22,90.32,6.7,1,9.2,0,0,294.89603,47.318089
0.014004,291.21811,51.18053,12356649, ,5301,2.898,-0.84,7.96,1.828,0.0051,744.31,0.316,DSEP,,1,Simbad,291.21811,51.18053,291.21811,51.18053389,12356649,91.98,5.12,7.64,0.23,5301,144,2.9,0.03,2.35,0.28,133.24,4.34,1,3.89,0,0,291.21811,51.180534
0.003996,295.96082,47.3796,10284955, ,4613,2.357,0.21,17.64,2.583,6.63E-04,2823.689,0.485,DSEP,,1,Simbad,295.96082,47.3796,295.96082,47.37960111,10284955,30.55,1.92,3.72,0.13,4768,151,2.4,0.03,1.31,0.18,133.17,6.45,1,7.98,0,0,295.96082,47.379601
0.003996,294.44965,41.83484,6451238, ,4584,2.412,0.36,17.477,2.876,7.59E-04,2138.944,0.572,DSEP,,1,Simbad,294.44965,41.83484,294.44965,41.83483889,6451238,31.18,1.85,3.93,0.11,4758,191,2.41,0.03,1.11,0.14,134.08,10.38,0.99,7.56,0,0,294.44965,41.834839
0.003996,296.58322,51.12769,12367827, ,5016,2.494,0.07,17.094,3.326,9.38E-04,2445.03,0.429,DSEP,,1,Simbad,296.58322,51.12769,296.58322,51.12768889,12367827,36.59,2.2,4.3,0.12,5028,256,2.49,0.03,1.36,0.18,71.85,7.34,0.99,6.91,7.62,1.69,296.58322,51.127689
0.006984,288.56778,43.56526,7813298, ,4999,2.366,0.07,20.538,3.574,5.81E-04,8383.516,0.383,DSEP,,1,Simbad,288.56778,43.56526,288.56778,43.56526194,7813298,28.35,2.15,3.73,0.1,4999,269,2.38,0.04,1.11,0.17,66.11,5.36,1,7.96,0,0,288.56778,43.565262
0.003996,286.28799,39.40664,4348593, ,5052,2.701,0.07,12.372,2.804,0.00209,595.079,0.31,DSEP,,1,Simbad,286.28799,39.40664,286.28799,39.40663889,4348593,64.22,3.77,5.15,0.15,5059,199,2.73,0.03,3.61,0.46,105.96,3.44,1,5.77,5.91,1.06,286.28799,39.406639
0.006984,288.96606,40.68173,5439339, ,5043,2.929,0.07,8.905,2.459,0.0049,1214.566,0.421,DSEP,,1,Simbad,288.96606,40.68173,288.96606,40.68172806,5439339,99.21,4.54,7.89,0.28,5188,192,2.93,0.02,2.51,0.29,60.42,5.29,1,3.76,0,0,288.96606,40.681728
0.003996,292.95093,41.10002,5879876, ,4661,2.383,-0.42,9.945,0.872,0.00125,2658.626,0.537,DSEP,,1,Simbad,292.95093,41.10002,292.95093,41.10002111,5879876,32.15,1.83,3.95,0.1,4856,189,2.42,0.03,1.23,0.15,45.47,4.81,1,7.52,0,0,292.95093,41.100021
0,289.81699,49.87241,11709205, ,4763,3.339,0.26,3.75,1.121,0.0299,428.728,0.233,DSEP,,1,Simbad,289.81699,49.87241,289.81699,49.87241,11709205,271.55,7.92,19.1,10.9,4882,71,3.35,0.01,1.37,1.56,57.15,4.09,1,1.56,0,0,289.81699,49.87241
0.003996,285.01559,48.98346,11231992, ,5065,3.05,0.02,7.151,2.095,0.00807,821.935,0.284,DSEP,,1,Simbad,285.01559,48.98346,285.01559,48.98345889,11231992,102.19,4.61,7.99,0.17,5286,177,2.94,0.02,2.68,0.26,161.73,4.8,1,3.72,0,0,285.01559,48.983459
0.003996,297.67392,47.35819,10290746, ,4996,2.354,0.07,20.848,3.584,5.57E-04,7356.485,0.534,DSEP,,1,Simbad,297.67392,47.35819,297.67392,47.35818889,10290746,28.39,2.33,3.85,1.76,4996,220,2.38,0.04,0.98,0.91,92.22,4.13,0.99,7.71,0,0,297.67392,47.358189
0.003996,298.10083,47.38531,10292330, ,5006,2.529,0.07,16.081,3.19,0.00108,4521.825,0.546,DSEP,,1,Simbad,298.10083,47.38531,298.10083,47.38531111,10292330,37.62,3.93,4.42,0.16,5074,290,2.5,0.05,1.34,0.28,69.88,6.97,0.99,6.72,0,0,298.10083,47.385311
0.003996,295.60233,42.23656,6791309, ,4732,2.322,-0.24,16.203,2.01,6.66E-04,1758.501,0.599,DSEP,,1,Simbad,295.60233,42.23656,295.60233,42.23656111,6791309,29.62,2.04,3.67,0.1,4810,114,2.39,0.03,1.27,0.17,47.08,3.29,1,8.09,0,0,295.60233,42.236561
0.003996,292.59854,49.88004,11714126, ,4861,2.363,0.07,20.075,3.386,5.90E-04,7487.644,0.378,DSEP,,1,Simbad,292.59854,49.88004,292.59854,49.88003889,11714126,33.06,1.75,3.85,0.12,4861,195,2.44,0.03,1.49,0.18,60.42,5.14,1,7.71,0,0,292.59854,49.880039
0.003996,289.62106,39.40842,4358067, ,4077,1.452,0.02,42.272,1.845,3.44E-05,5581.393,0.467,DSEP,,1,Simbad,289.62106,39.40842,289.62106,39.40842111,4358067,3.63,0.2,0.71,0.04,4077,115,1.44,0.03,1.31,0.2,67.5,4.4,0.98,41.83,0,0,289.62106,39.408421
0.003996,287.80643,42.93555,7350769, ,5171,3.295,-0.7,3.562,0.913,0.0284,425.448,0.241,DSEP,,1,Simbad,287.80643,42.93555,287.80643,42.93555111,7350769,91.78,3.92,7.08,0.96,5176,124,2.89,0.02,3.05,0.86,82.54,3.67,1,4.2,0,0,287.80643,42.935551
0.006984,287.93832,42.92119,7351098, ,5038,2.974,0.36,8.833,2.678,0.00547,1147.65,0.374,DSEP,,1,Simbad,287.93832,42.92119,287.93832,42.92118806,7351098,114.18,5.34,8.89,0.21,5102,174,2.98,0.02,2.32,0.24,120.88,3.99,1,3.34,0,0,287.93832,42.921188
0.006984,284.27859,41.95149,6502644, ,5015,2.928,-0.06,8.181,2.071,0.00533,537.076,0.269,DSEP,,1,Simbad,284.27859,41.95149,284.27859,41.95149194,6502644,97.7,17.8,8.86,0.26,5014,196,2.91,0.09,1.43,0.46,138.82,4.43,1,3.35,0,0,284.27859,41.951492
0.006984,300.25565,44.58267,8522971, ,5016,2.96,0.21,8.67,2.499,0.0054,1455.204,0.68,DSEP,,1,Simbad,300.25565,44.58267,300.25565,44.58266806,8522971,113.37,7.06,8.74,0.3,5004,159,2.98,0.03,2.36,0.31,101.59,4.72,0.99,3.4,0,0,300.25565,44.582668
0,282.11713,44.15728,8212479, ,4759,2.216,-0.64,13.836,1.146,6.10E-04,2001.202,0.289,DSEP,,1,Simbad,282.11713,44.15728,282.11713,44.15728,8212479,20.44,1.23,2.79,0.08,4915,140,2.23,0.03,1.29,0.16,119.16,6.28,1,10.65,0,0,282.11713,44.15728
0.003996,283.30109,47.44572,10322133, ,5381,3.073,-0.5,6.842,2.022,0.00889,5986.979,0.283,DSEP,,1,Simbad,283.30109,47.44572,283.30109,47.44572111,10322133,137.2,6.7,11.9,0.4,5403,186,3.08,0.02,1.36,0.16,20.49,1.76,0.99,2.5,0,0,283.30109,47.445721
0.003996,282.24716,46.11374,9508595, ,4931,2.378,-0.64,14.681,1.878,8.36E-04,2775.841,0.28,DSEP,,1,Simbad,282.24716,46.11374,282.24716,46.11373889,9508595,28.92,1.83,4.06,0.13,5328,340,2.4,0.04,0.92,0.14,67.03,3.44,1,7.32,0,0,282.24716,46.113739
0.006984,292.28741,40.62892,5449910, ,5450,4.563,0.1,0.842,0.944,2.23,144.564,0.068,DSEP,,1,Simbad,292.28741,40.62892,292.28741,40.62892194,5449910,25.19,1.57,3.58,0.74,5416,162,2.34,0.03,1.03,0.44,14.19,1.16,0.99,8.3,0,0,292.28741,40.628922
0,297.54099,49.86628,11725564, ,5008,2.942,0.21,8.98,2.572,0.005,1051.835,0.44,DSEP,,1,Simbad,297.54099,49.86628,297.54099,49.86628,11725564,107.72,5.95,8.44,0.24,4944,110,2.95,0.03,2.28,0.26,97.47,6.63,1,3.52,0,0,297.54099,49.86628
0.003996,284.88443,46.1242,9513046, ,5132,2.85,-0.46,8.636,1.924,0.00421,937.623,0.303,DSEP,,1,Simbad,284.88443,46.1242,284.88443,46.12419889,9513046,75.73,7.39,6.92,0.2,5397,246,2.82,0.05,2,0.37,89.72,4.34,1,4.29,0,0,284.88443,46.124199
0.003996,292.61639,48.99426,11245628, ,5024,2.543,0.07,15.807,3.182,0.00114,3694.81,0.389,DSEP,,1,Simbad,292.61639,48.99426,292.61639,48.99425889,11245628,42.71,1.96,4.33,0.13,5024,286,2.55,0.03,2.1,0.26,115.15,3.43,1,6.86,0,0,292.61639,48.994259
0,292.465,38.82185,3750783, ,5009,2.961,0,7.926,2.091,0.00592,1360.234,0.553,DSEP,,1,Simbad,292.465,38.82185,292.465,38.82185,3750783,110.02,4.91,8.68,0.2,5249,300,2.97,0.03,2.38,0.27,6.79,0.45,0.99,3.42,0,0,292.465,38.82185
0,283.59744,46.68269,9815461, ,4918,2.358,-0.5,16.187,2.178,7.23E-04,6071.827,0.29,DSEP,,1,Simbad,283.59744,46.68269,283.59744,46.68269,9815461,28.9,2,3.73,0.11,4918,145,2.38,0.03,1.15,0.16,51.52,4.67,1,7.96,0,0,283.59744,46.68269
0,283.60672,46.64637,9815478, ,5261,3.13,-0.56,5.769,1.639,0.012,4517.125,0.291,DSEP,,1,Simbad,283.60672,46.64637,283.60672,46.64637,9815478,167.1,18.8,14.49,0.44,5273,161,3.16,0.05,1.08,0.22,50.46,5.94,0.99,2.05,0,0,283.60672,46.64637
0.003996,285.4859,41.24454,5943345, ,4898,2.65,0.07,12.767,2.654,0.0018,1656.485,0.355,DSEP,,1,Simbad,285.4859,41.24454,285.4859,41.24454111,5943345,51.17,3.55,4.73,0.5,5085,222,2.64,0.03,2.59,0.64,126.01,4.07,1,6.28,0,0,285.4859,41.244541
0.003996,288.48788,49.93945,11757235, ,4898,2.233,-0.5,20.373,2.585,4.31E-04,6964.498,0.322,DSEP,,1,Simbad,288.48788,49.93945,288.48788,49.93944889,11757235,21.41,1.13,2.83,0.09,4898,199,2.25,0.03,1.4,0.17,36.68,2.48,1,10.5,0,0,288.48788,49.939449
0.006984,290.07169,41.9722,6516800, ,5186,3.434,-0.58,3.15,0.983,0.0443,385.88,0.228,DSEP,,1,Simbad,290.07169,41.9722,290.07169,41.97219806,6516800,61.52,2.78,5.69,0.17,5186,119,2.72,0.02,2.21,0.23,54.12,2.29,1,5.22,0,0,290.07169,41.972198
0.003996,292.13577,37.9677,2716214, ,5120,2.402,-0.5,17.154,2.708,7.56E-04,6573.03,0.59,DSEP,,1,Simbad,292.13577,37.9677,292.13577,37.96770111,2716214,30.26,1.95,3.91,0.12,5120,279,2.41,0.03,1.16,0.17,41.31,2.07,0.99,7.6,0,0,292.13577,37.967701
0.006984,294.43005,38.81727,3758731, ,5055,2.809,0.07,10.628,2.654,0.00311,1010.319,0.55,DSEP,,1,Simbad,294.43005,38.81727,294.43005,38.81726806,3758731,74.83,5.98,6.28,0.18,5119,248,2.8,0.04,2.63,0.42,115.12,3.69,1,4.73,0,0,294.43005,38.817268
0.003996,288.2847,46.13107,9518802, ,5290,2.853,0.07,10.628,2.938,0.00345,629.223,0.301,DSEP,,1,Simbad,288.2847,46.13107,288.2847,46.13106889,9518802,89.12,5.5,7.41,0.14,5285,309,2.88,0.03,2.4,0.32,108.23,5.25,1,4.01,0,0,288.2847,46.131069
0.006984,290.83051,44.1677,8230626, ,5048,2.978,0.21,8.611,2.571,0.00567,1284.959,0.415,DSEP,,1,Simbad,290.83051,44.1677,290.83051,44.16770194,8230626,108.5,6.36,8,0.17,5364,353,2.97,0.03,3.27,0.45,120.83,17.27,1,3.71,0,0,290.83051,44.167702
0.003996,289.89035,41.27115,5954370, ,4640,2.08,-0.5,18.344,1.473,3.36E-04,342.61,0.203,DSEP,,1,Simbad,289.89035,41.27115,289.89035,41.27114889,5954370,14.7,1,2.27,0.07,4632,169,2.07,0.03,1.01,0.14,44.54,3.36,1,13.08,0,0,289.89035,41.271149
0.003996,293.98932,49.9005,11767251, ,5661,3.62,-0.62,2.789,1.181,0.0766,254.292,0.143,DSEP,,1,Simbad,293.98932,49.9005,293.98932,49.90050111,11767251,101.11,13.65,9.62,0.2,5662,182,2.95,0.06,1.37,0.33,117.63,3.68,1,3.09,0,0,293.98932,49.900501
0.003996,286.24603,44.64244,8547469, ,4884,2.378,0.07,20.128,3.531,6.10E-04,3306.713,0.336,DSEP,,1,Simbad,286.24603,44.64244,286.24603,44.64244111,8547469,30.07,1.78,3.83,0.12,5022,261,2.4,0.03,1.2,0.16,79.72,6.68,1,7.75,0,0,286.24603,44.642441
0,287.46808,49.02795,11289128, ,5057,2.384,-0.94,14.347,1.815,8.66E-04,1867.472,0.317,DSEP,,1,Simbad,287.46808,49.02795,287.46808,49.02795,11289128,29.51,1.8,4,0.15,5148,212,2.4,0.03,0.99,0.14,38.5,3.48,1,7.43,9.72,1.22,287.46808,49.02795
0,287.72845,49.00008,11289515, ,4673,2.361,-0.04,15.769,2.082,7.48E-04,1915.351,0.321,DSEP,,1,Simbad,287.72845,49.00008,287.72845,49.00008,11289515,29.69,1.76,3.65,0.11,4796,111,2.39,0.03,1.31,0.16,52.93,2.74,1,8.14,0,0,287.72845,49.00008
0,295.3064,44.10746,8243522, ,5083,3.06,-0.02,7.057,2.084,0.00835,1708.791,0.537,DSEP,,1,Simbad,295.3064,44.10746,295.3064,44.10746,8243522,102.29,13.79,10.85,0.24,5142,167,2.94,0.06,0.76,0.18,110.43,3.86,0.99,2.74,0,0,295.3064,44.10746
0,289.81064,38.08849,2845408, ,5019,2.783,0.21,11.601,2.975,0.00268,1150.069,0.473,DSEP,,1,Simbad,289.81064,38.08849,289.81064,38.08849,2845408,74.76,3.95,6.38,0.12,5058,185,2.8,0.03,2.42,0.26,142.71,14.66,0.99,4.66,0,0,289.81064,38.08849
0.003996,289.86423,38.0281,2845610, ,5074,2.889,0.07,9.621,2.614,0.00414,554.859,0.328,DSEP,,1,Simbad,289.86423,38.0281,289.86423,38.02809889,2845610,90.1,5.2,6.97,0.14,5095,151,2.88,0.03,3,0.34,79.72,8.51,1,4.26,0,0,289.86423,38.028099
0.003996,296.06314,44.14751,8245912, ,4964,2.632,0.07,14.049,3.084,0.00157,3682.664,0.568,DSEP,,1,Simbad,296.06314,44.14751,296.06314,44.14751111,8245912,52.88,2.55,5.27,0.11,5033,219,2.65,0.03,1.82,0.2,75.43,4.38,1,5.64,0,0,296.06314,44.147511
0.003996,297.31436,49.99808,11775041, ,5089,2.445,-0.5,15.762,2.526,9.09E-04,2705.012,0.464,DSEP,,1,Simbad,297.31436,49.99808,297.31436,49.99808111,11775041,35.78,1.9,4.12,0.13,4964,191,2.47,0.03,1.48,0.18,53.33,4.08,1,7.21,8.85,1.17,297.31436,49.998081
0,294.7518,41.96767,6532043, ,5314,2.782,0.07,11.82,3.083,0.00263,4055.47,0.581,DSEP,,1,Simbad,294.7518,41.96767,294.7518,41.96767,6532043,74.11,3.41,6.4,0.19,5314,372,2.81,0.03,2.51,0.33,147.8,4.13,1,4.64,0,0,294.7518,41.96767
0.006984,291.13269,40.03364,4921676, ,5088,2.432,-0.5,16.64,2.73,8.35E-04,6751.223,0.5,DSEP,,1,Simbad,291.13269,40.03364,291.13269,40.03364194,4921676,32.9,1.8,4.07,0.58,5088,276,2.44,0.03,1.26,0.39,120.1,6.01,0.99,7.3,0,0,291.13269,40.033642
0,291.24667,49.07793,11295851, ,5186,2.866,0.07,10.245,2.814,0.00369,1503.687,0.366,DSEP,,1,Simbad,291.24667,49.07793,291.24667,49.07793,11295851,95.33,4.09,7.58,0.24,5300,226,2.91,0.02,2.7,0.3,165.07,7.78,1,3.92,0,0,291.24667,49.07793
0,296.63098,44.11298,8247851, ,4918,2.553,-0.36,12.276,1.963,0.00149,1991.324,0.588,DSEP,,1,Simbad,296.63098,44.11298,296.63098,44.11298,8247851,42.32,2.2,4.55,0.14,5024,242,2.55,0.03,1.68,0.21,83.11,6.94,1,6.53,0,0,296.63098,44.11298
0.006984,284.36392,42.38249,6842824, ,4763,2.414,-0.18,14.644,2.032,9.11E-04,3479.955,0.328,DSEP,,1,Simbad,284.36392,42.38249,284.36392,42.38248806,6842824,31.9,1.87,3.93,0.14,4961,233,2.42,0.03,1.27,0.17,120.06,5.67,0.99,7.56,5.26,2.93,284.36392,42.382488
0.003996,289.63226,43.68197,7884671, ,5013,2.394,0.07,19.813,3.549,6.43E-04,6169.757,0.402,DSEP,,1,Simbad,289.63226,43.68197,289.63226,43.68196889,7884671,30.62,1.68,3.83,0.09,5013,266,2.41,0.03,1.26,0.16,52.6,4.62,1,7.75,0,0,289.63226,43.681969
0.003996,289.8895,43.68831,7885370, ,5122,2.308,-0.5,19.999,2.962,5.22E-04,7174.252,0.407,DSEP,,1,Simbad,289.8895,43.68831,289.8895,43.68830889,7885370,27.13,1.74,3.63,0.13,5122,283,2.36,0.03,1.12,0.17,41.27,2.82,0.99,8.18,0,0,289.8895,43.688309
0.003996,292.97888,46.66587,9833651, ,4727,2.501,0.07,14.064,2.286,0.00116,2425.483,0.428,DSEP,,1,Simbad,292.97888,46.66587,292.97888,46.66587111,9833651,38.91,2,4.22,0.13,4911,246,2.51,0.03,1.7,0.21,94.15,12.14,1,7.04,0,0,292.97888,46.665871
0.003996,291.99393,38.057,2854994, ,5002,3.267,-0.26,3.976,1.066,0.0239,383.293,0.236,DSEP,,1,Simbad,291.99393,38.057,291.99393,38.05699889,2854994,133.16,10.78,10.26,0.21,5003,117,3.05,0.04,2.01,0.3,132.27,6.54,1,2.89,0,0,291.99393,38.056999
0.006984,288.75912,50.04632,11808481, ,4785,2.342,-0.34,15.677,1.972,7.21E-04,1532.922,0.324,DSEP,,1,Simbad,288.75912,50.04632,288.75912,50.04632194,11808481,28.42,1.63,3.83,0.11,4992,211,2.38,0.03,1,0.13,52.23,3.9,1,7.75,0,0,288.75912,50.046322
0.006984,292.27155,38.06299,2856412, ,4904,2.46,0.21,17.945,3.389,8.26E-04,3093.573,0.593,DSEP,,1,Simbad,292.27155,38.06299,292.27155,38.06298806,2856412,35.67,2.05,4.23,0.58,4904,222,2.47,0.03,1.3,0.39,9.77,0.52,0.99,7.02,0,0,292.27155,38.062988
