angDist,_RAJ2000,_DEJ2000,KIC,numax,e_numax,Dnu,e_Dnu,DPi1,e_DPi1,q,e_q,eps,e_eps,dnurot,e_dnurot,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE
0,292.02408,37.77676,2445947,32.33,0.51,4.06,0.04,290.24,0.21,0.28,0.04,0.086,0.08,30,7,Simbad,292.02408,37.77676,292.02408,37.77676,2445947, ,4964,2.435,-0.5,14.627,2.122,9.55E-04,2972.927,0.591,DSEP,,1,Simbad,292.02408,37.77676
0.0036,292.33276,37.704731,2447476,89.46,1.03,7.9,0.04,70.84,0.03,0.14,0.02,0.394,0.066,300,14,Simbad,292.33276,37.704731,292.33276,37.70473,2447476, ,4727,2.859,0.36,8.766,2.025,0.00423,1945.611,0.603,DSEP,,1,Simbad,292.33276,37.70473
0.0036,292.35822,37.733269,2447604,54.11,0.63,4.94,0.04,294.48,0.34,0.28,0.03,-0.031,0.077,60,15,Simbad,292.35822,37.733269,292.35822,37.73327,2447604, ,4926,2.647,0.21,13.471,2.936,0.00169,1294.96,0.568,DSEP,,1,Simbad,292.35822,37.73327
0.0036,292.59814,37.762241,2448679,38.04,0.54,4.3,0.04,325.45,0.17,0.26,0.03,0.023,0.043,50,12,Simbad,292.59814,37.762241,292.59814,37.76224,2448679, ,4867,2.506,0.07,15.574,2.835,0.00106,2589.5,0.618,DSEP,,1,Simbad,292.59814,37.76224
0.0072,292.68246,37.752392,2449020,67.34,0.78,6.05,0.04,313.05,0.51,0.25,0.03,-0.093,0.083,35,8,Simbad,292.68246,37.752392,292.68246,37.75239,2449020, ,5007,2.842,0.07,10.068,2.566,0.00354,1698.316,0.61,DSEP,,1,Simbad,292.68246,37.75239
0.0036,292.80692,37.764179,2449558,90.75,1.01,7.62,0.04,74.4,0.05,0.12,0.02,0.339,0.111,160,16,Simbad,292.80692,37.764179,292.80692,37.76418,2449558, ,4906,2.868,0.07,9.029,2.191,0.00419,1992.209,0.624,DSEP,,1,Simbad,292.80692,37.76418
0,290.09753,37.82309,2568912,129.3,1.57,11.39,0.05,80.38,0.02,0.15,0.02,0.329,0.027,,,Simbad,290.09753,37.82309,290.09753,37.82309,2568912, ,5002,3.009,-0.2,6.557,1.599,0.00799,1609.073,0.509,DSEP,,1,Simbad,290.09753,37.82309
0.0036,290.25604,37.801441,2570244,105.7,1.3,9.28,0.06,76.67,0.06,0.12,0.02,0.277,0.1,260,18,Simbad,290.25604,37.801441,290.25604,37.80144,2570244, ,4729,2.653,0.07,10.602,1.843,0.00218,7326.243,0.519,DSEP,,1,Simbad,290.25604,37.80144
0.0072,290.52328,37.880268,2571668,187.6,2.52,14.72,0.09,85.05,0.02,0.17,0.02,0.274,0.016,280,12,Simbad,290.52328,37.880268,290.52328,37.88027,2571668, ,5185,3.196,-0.4,5.43,1.686,0.0148,2378.921,0.527,DSEP,,1,Simbad,290.52328,37.88027
0.0072,290.61758,37.873402,2572089,40.2,0.54,4.23,0.04,336.27,0.32,0.24,0.03,-0.051,0.075,30,7,Simbad,290.61758,37.873402,290.61758,37.8734,2572089, ,4866,2.535,0.21,15.726,3.093,0.00112,2434.397,0.531,DSEP,,1,Simbad,290.61758,37.8734
0.0072,290.85715,37.875992,2573092,35.3,0.51,4.08,0.03,294.6,0.16,0.28,0.03,-0.231,0.055,60,13,Simbad,290.85715,37.875992,290.85715,37.87599,2573092, ,4723,2.459,0.07,15.306,2.462,9.67E-04,1932.131,0.538,DSEP,,1,Simbad,290.85715,37.87599
0.0036,291.1066,37.804031,2574191,29.7,0.52,4.09,0.04,328.22,0.34,0.2,0.03,0.059,0.109,30,7,Simbad,291.1066,37.804031,291.1066,37.80403,2574191, ,5023,2.39,0.07,19.932,3.553,6.32E-04,3788.401,0.551,DSEP,,1,Simbad,291.1066,37.80403
0.0036,291.30063,37.855911,2575044,32.4,0.51,4.08,0.04,297.68,0.16,0.32,0.04,-0.026,0.054,20,7,Simbad,291.30063,37.855911,291.30063,37.85591,2575044, ,4818,2.425,-0.3,14.304,1.987,9.56E-04,2847.927,0.558,DSEP,,1,Simbad,291.30063,37.85591
0.0036,292.03244,37.835239,2578581,207.6,2.84,15.99,0.09,86.48,0.2,0.14,0.02,0.209,0.069,280,33,Simbad,292.03244,37.835239,292.03244,37.83524,2578581, ,4999,3.243,-0.08,5.301,1.792,0.0169,1473.92,0.57,DSEP,,1,Simbad,292.03244,37.83524
0.0036,292.26883,37.892941,2579661,138.7,1.57,11.21,0.05,76.34,0.11,0.12,0.02,0.319,0.142,290,24,Simbad,292.26883,37.892941,292.26883,37.89294,2579661, ,5079,3.054,-0.16,6.751,1.882,0.00862,1286.691,0.561,DSEP,,1,Simbad,292.26883,37.89294
0.0036,292.94125,37.889999,2582764,32.5,0.51,4.04,0.04,300.14,0.32,0.2,0.03,-0.057,0.112,25,7,Simbad,292.94125,37.889999,292.94125,37.89,2582764, ,4807,2.407,-0.3,14.608,1.987,8.98E-04,2305.652,0.63,DSEP,,1,Simbad,292.94125,37.89
0.0072,293.08279,37.859348,2583386,72.8,0.83,6.4,0.04,87.38,0.04,0.18,0.02,0.033,0.087,40,10,Simbad,293.08279,37.859348,293.08279,37.85935,2583386, ,4761,2.78,0.36,10.348,2.353,0.00299,1437.895,0.607,DSEP,,1,Simbad,293.08279,37.85935
0.0036,293.14285,37.813591,2583651,34.5,0.5,3.94,0.03,274.44,0.33,0.24,0.03,0.093,0.147,30,7,Simbad,293.14285,37.813591,293.14285,37.81359,2583651, ,4779,2.437,0.36,18.48,3.408,7.61E-04,1454.468,0.612,DSEP,,1,Simbad,293.14285,37.81359
0.0072,293.19281,37.856918,2583884,57,0.71,5.51,0.04,305.57,0.29,0.28,0.03,0.034,0.057,25,7,Simbad,293.19281,37.856918,293.19281,37.85692,2583884, ,4906,2.812,0.02,9.417,2.097,0.00354,787.585,0.463,DSEP,,1,Simbad,293.19281,37.85692
0.0036,293.32153,37.899811,2584478,181.5,2.17,13.96,0.07,81.07,0.09,0.13,0.02,0.864,0.076,258,21,Simbad,293.32153,37.899811,293.32153,37.89981,2584478, ,4877,3.18,0.18,5.36,1.587,0.0145,1251.919,0.591,DSEP,,1,Simbad,293.32153,37.89981
0.0036,293.44296,37.803169,2584997,187,2.24,14.45,0.07,83.49,0.04,0.13,0.02,0.331,0.028,160,14,Simbad,293.44296,37.803169,293.44296,37.80317,2584997, ,4940,3.179,0.04,5.306,1.55,0.0146,954.269,0.528,DSEP,,1,Simbad,293.44296,37.80317
0.0036,293.48367,37.873329,2585190,47.2,0.61,4.74,0.04,331.66,0.59,0.28,0.04,-0.085,0.121,60,15,Simbad,293.48367,37.873329,293.48367,37.87333,2585190, ,5119,2.595,-0.5,12.948,2.407,0.00156,2482.33,0.659,DSEP,,1,Simbad,293.48367,37.87333
0.0036,285.75293,37.986019,2692629,208.4,2.88,16.29,0.09,87.69,0.08,0.15,0.02,0.334,0.05,210,18,Simbad,285.75293,37.986019,285.75293,37.98602,2692629, ,5168,3.245,-0.36,5.146,1.699,0.0176,1619.866,0.394,DSEP,,1,Simbad,285.75293,37.98602
0.0036,286.18661,37.955669,2693967,85.4,0.94,7.05,0.04,230.81,0.43,0.18,0.02,-0.038,0.099,140,27,Simbad,286.18661,37.955669,286.18661,37.95567,2693967, ,5018,2.868,-0.16,8.701,2.035,0.00435,2178.248,0.404,DSEP,,1,Simbad,286.18661,37.95567
0,286.68936,37.90295,2695592,37.6,0.55,4.31,0.04,307.68,0.19,0.33,0.04,-0.202,0.056,60,14,Simbad,286.68936,37.90295,286.68936,37.90295,2695592, ,5173,2.488,-0.5,15.207,2.597,0.00104,3839.158,0.416,DSEP,,1,Simbad,286.68936,37.90295
0.0072,287.0694,37.917858,2696739,193,2.32,15.19,0.06,85.7,0.17,0.15,0.02,0.331,0.127,,,Simbad,287.0694,37.917858,287.0694,37.91786,2696739, ,4913,3.212,-0.3,3.835,0.873,0.0218,728.988,0.362,DSEP,,1,Simbad,287.0694,37.91786
0.0036,287.17505,37.938881,2697082,31.6,0.42,3.33,0.03,300.68,0.24,0.3,0.04,-0.219,0.09,30,7,Simbad,287.17505,37.938881,287.17505,37.93888,2697082, ,4940,2.398,0.07,19.697,3.538,6.52E-04,2234.202,0.427,DSEP,,1,Simbad,287.17505,37.93888
0.0036,287.31821,37.901039,2697501,49.8,0.61,4.82,0.04,302.69,0.22,0.25,0.03,0.066,0.05,25,7,Simbad,287.31821,37.901039,287.31821,37.90104,2697501, ,4832,2.642,0.36,13.75,3.025,0.00164,2283.223,0.431,DSEP,,1,Simbad,287.31821,37.90104
0.0072,290.64941,37.916988,2709625,36.9,0.54,4.31,0.04,284.65,0.22,0.29,0.03,0.013,0.081,30,7,Simbad,290.64941,37.916988,290.64941,37.91699,2709625, ,5047,2.48,-0.5,15,2.478,0.00103,5746.72,0.531,DSEP,,1,Simbad,290.64941,37.91699
0.0072,291.46692,37.917568,2713172,31.3,0.53,4.16,0.04,327.27,0.24,0.23,0.04,-0.482,0.075,30,7,Simbad,291.46692,37.917568,291.46692,37.91757,2713172, ,5213,3.241,-0.18,5.427,1.873,0.0165,2193.143,0.562,DSEP,,1,Simbad,291.46692,37.91757
0.0036,291.5166,37.968079,2713391,36.1,0.52,4.13,0.04,292.61,0.13,0.32,0.04,-0.052,0.049,40,10,Simbad,291.5166,37.968079,291.5166,37.96808,2713391, ,5016,2.468,0.07,17.681,3.347,8.53E-04,6217.212,0.563,DSEP,,1,Simbad,291.5166,37.96808
0.0036,291.62048,37.971481,2713894,35.53,0.51,4.03,0.04,338.41,0.29,0.26,0.04,0.08,0.077,30,7,Simbad,291.62048,37.971481,291.62048,37.97148,2713894, ,5229,2.486,-0.5,15.517,2.688,0.00101,3088.544,0.568,DSEP,,1,Simbad,291.62048,37.97148
0.0036,291.66171,37.979309,2714090,53.2,0.65,5.09,0.04,271.85,0.12,0.27,0.03,-0.006,0.034,30,7,Simbad,291.66171,37.979309,291.66171,37.97931,2714090, ,4848,2.637,0.21,13.051,2.692,0.0017,2489.972,0.569,DSEP,,1,Simbad,291.66171,37.97931
0.0036,291.66562,37.904751,2714108,38.2,0.55,4.36,0.04,295.6,0.22,0.24,0.03,0.317,0.066,30,7,Simbad,291.66562,37.904751,291.66562,37.90475,2714108, ,5134,2.501,-0.5,14.745,2.513,0.0011,3564.165,0.571,DSEP,,1,Simbad,291.66562,37.90475
0.0036,291.72882,37.941681,2714397,33,0.52,4.15,0.04,328.04,0.19,0.3,0.04,-0.271,0.059,50,12,Simbad,291.72882,37.941681,291.72882,37.94168,2714397, ,4964,2.421,-0.66,13.959,1.872,9.70E-04,1229.339,0.536,DSEP,,1,Simbad,291.72882,37.94168
0,292.16891,37.98238,2716376,37.2,0.53,4.2,0.03,299.86,0.37,0.37,0.04,0.047,0.13,30,7,Simbad,292.16891,37.98238,292.16891,37.98238,2716376, ,4912,2.48,0.21,17.509,3.373,8.85E-04,3612.481,0.591,DSEP,,1,Simbad,292.16891,37.98238
0.0036,292.2168,37.900291,2716608,67,0.75,5.74,0.04,316.6,0.54,0.3,0.03,0.014,0.084,38,9,Simbad,292.2168,37.900291,292.2168,37.90029,2716608, ,5059,2.753,0.07,11.571,2.762,0.00251,1096.086,0.531,DSEP,,1,Simbad,292.2168,37.90029
0.0036,292.82144,37.937511,2719382,32.6,0.52,4.09,0.04,301.25,0.39,0.23,0.03,0.04,0.14,23,7,Simbad,292.82144,37.937511,292.82144,37.93751,2719382, ,4961,2.426,0.07,18.621,3.374,7.36E-04,6042.349,0.623,DSEP,,1,Simbad,292.82144,37.93751
0.0036,292.892,37.906631,2719701,141.8,1.79,11.98,0.07,80.96,0.07,0.15,0.02,0.353,0.079,360,19,Simbad,292.892,37.906631,292.892,37.90663,2719701, ,4968,3.063,-0.1,6.51,1.787,0.00912,2309.119,0.627,DSEP,,1,Simbad,292.892,37.90663
0.0072,293.21957,37.932018,2721170,27.1,0.5,3.99,0.04,306.22,0.19,0.33,0.04,0.19,0.078,10,7,Simbad,293.21957,37.932018,293.21957,37.93202,2721170, ,4941,3.115,-0.28,4.613,1.012,0.0145,1446.972,0.611,DSEP,,1,Simbad,293.21957,37.93202
0.0072,286.78738,38.055592,2835067,83,1,7.65,0.04,70.84,0.03,0.12,0.02,0.276,0.089,400,15,Simbad,286.78738,38.055592,286.78738,38.05559,2835067, ,4831,2.831,-0.14,7.522,1.398,0.00463,1828.404,0.416,DSEP,,1,Simbad,286.78738,38.05559
0.0036,286.98465,38.071129,2835657,86.3,1.03,7.86,0.04,69.9,0.03,0.12,0.02,0.105,0.078,395,15,Simbad,286.98465,38.071129,286.98465,38.07113,2835657, ,4868,2.857,-0.14,7.586,1.51,0.00487,2001.588,0.42,DSEP,,1,Simbad,286.98465,38.07113
0,290.08652,38.06002,2846543,29.8,0.53,4.22,0.04,295.17,0.22,0.24,0.04,-0.171,0.09,30,7,Simbad,290.08652,38.06002,290.08652,38.06002,2846543, ,5180,2.403,-0.5,17.458,2.81,7.44E-04,6780.587,0.508,DSEP,,1,Simbad,290.08652,38.06002
0.0072,290.65921,38.095322,2848857,27.4,0.47,3.77,0.04,302.58,0.21,0.35,0.05,-0.289,0.088,10,7,Simbad,290.65921,38.095322,290.65921,38.09532,2848857, ,4931,2.381,-0.5,15.755,2.178,7.85E-04,3871.705,0.527,DSEP,,1,Simbad,290.65921,38.09532
0,291.63174,38.05975,2853354,125.4,1.45,10.35,0.05,76.19,0.07,0.13,0.02,0.333,0.105,410,20,Simbad,291.63174,38.05975,291.63174,38.05975,2853354, ,4988,3.013,0.21,7.709,2.231,0.00686,2971.578,0.566,DSEP,,1,Simbad,291.63174,38.05975
0.0036,292.02515,38.031551,2855150,30.9,0.51,4.07,0.04,319.8,0.17,0.25,0.03,0.018,0.063,30,7,Simbad,292.02515,38.031551,292.02515,38.03155,2855150, ,4972,2.432,0.07,18.487,3.371,7.52E-04,7035.536,0.583,DSEP,,1,Simbad,292.02515,38.03155
0.0036,292.35263,38.062149,2856803,31.9,0.52,4.09,0.04,319.07,0.18,0.33,0.04,-0.283,0.061,30,7,Simbad,292.35263,38.062149,292.35263,38.06215,2856803, ,4981,2.437,0.07,18.374,3.369,7.65E-04,3848.276,0.597,DSEP,,1,Simbad,292.35263,38.06215
0.0036,293.26395,38.062809,2861042,78.6,0.9,6.63,0.05,259.84,0.51,0.22,0.03,0.068,0.098,85,21,Simbad,293.26395,38.062809,293.26395,38.06281,2861042, ,4898,2.812,0.36,10.822,2.771,0.00308,4206.463,0.641,DSEP,,1,Simbad,293.26395,38.06281
0,285.97836,38.19289,2970396,29.9,0.48,3.83,0.04,286.64,0.15,0.25,0.03,-0.21,0.068,30,7,Simbad,285.97836,38.19289,285.97836,38.19289,2970396, ,4691,2.378,-0.06,15.442,2.075,7.94E-04,2387.453,0.396,DSEP,,1,Simbad,285.97836,38.19289
0,286.10056,38.18074,2970784,136.1,1.67,11.76,0.06,79.74,0.07,0.14,0.02,0.303,0.085,560,22,Simbad,286.10056,38.18074,286.10056,38.18074,2970784, ,5196,3.06,-0.3,6.879,1.981,0.00857,2465.228,0.399,DSEP,,1,Simbad,286.10056,38.18074
0,286.30133,38.10817,2971380,77.6,1.03,7.92,0.04,70.84,0.03,0.14,0.02,0.067,0.078,180,13,Simbad,286.30133,38.10817,286.30133,38.10817,2971380, ,5339,2.817,-0.5,10.167,2.476,0.00332,2650.664,0.404,DSEP,,1,Simbad,286.30133,38.10817
0,286.31851,38.10733,2971432,182.5,2.12,13.77,0.06,83.49,0.09,0.14,0.02,0.269,0.074,200,20,Simbad,286.31851,38.10733,286.31851,38.10733,2971432, ,4869,3.181,0.2,5.363,1.592,0.0145,1223.343,0.4,DSEP,,1,Simbad,286.31851,38.10733
0.0072,286.69873,38.163528,2972545,134.2,1.49,10.78,0.05,80.34,0.13,0.12,0.02,0.261,0.126,460,27,Simbad,286.69873,38.163528,286.69873,38.16353,2972545, ,4866,3.051,0.07,6.17,1.56,0.00936,1245.504,0.407,DSEP,,1,Simbad,286.69873,38.16353
0.0072,286.80927,38.110432,2972876,97.18,1.04,7.81,0.04,91.17,0.06,0.14,0.02,0.203,0.072,380,17,Simbad,286.80927,38.110432,286.80927,38.11043,2972876, ,4882,2.912,0.24,8.526,2.164,0.00492,1833.69,0.416,DSEP,,1,Simbad,286.80927,38.11043
0.0072,287.43997,38.170712,2974827,147.4,1.86,12.68,0.07,82.48,0.06,0.16,0.02,0.224,0.06,440,18,Simbad,287.43997,38.170712,287.43997,38.17071,2974827, ,5128,3.091,-0.08,6.775,2.063,0.00934,2691.068,0.43,DSEP,,1,Simbad,287.43997,38.17071
0.0036,289.82294,38.194321,2982965,37.4,0.54,4.29,0.04,316,0.27,0.25,0.03,0.016,0.074,30,7,Simbad,289.82294,38.194321,289.82294,38.19432,2982965, ,4750,2.491,-0.04,13.579,2.081,0.00117,4018.741,0.496,DSEP,,1,Simbad,289.82294,38.19432
0.0072,290.85522,38.153992,2987113,33.6,0.48,3.79,0.03,246.75,0.14,0.26,0.03,-0.059,0.076,30,7,Simbad,290.85522,38.153992,290.85522,38.15399,2987113, ,4598,2.433,0.36,16.446,2.672,8.46E-04,1243.153,0.508,DSEP,,1,Simbad,290.85522,38.15399
0.0036,291.08838,38.107609,2988079,36.5,0.53,4.18,0.04,266.52,0.18,0.25,0.03,0.087,0.075,30,7,Simbad,291.08838,38.107609,291.08838,38.10761,2988079, ,5014,3.046,0.12,7.247,2.13,0.00788,2262.226,0.542,DSEP,,1,Simbad,291.08838,38.10761
0.0036,291.13705,38.131821,2988295,211.3,2.7,16.85,0.07,88.85,0.11,0.16,0.02,0.283,0.069,170,21,Simbad,291.13705,38.131821,291.13705,38.13182,2988295, ,4915,3.254,-0.08,4.108,1.104,0.0224,735.208,0.413,DSEP,,1,Simbad,291.13705,38.13182
0,291.20786,38.125,2988638,94.1,0.99,7.42,0.04,232.42,0.51,0.21,0.02,-0.005,0.106,50,12,Simbad,291.20786,38.125,291.20786,38.125,2988638, ,5123,2.878,0.21,10.173,2.851,0.00381,1976.407,0.546,DSEP,,1,Simbad,291.20786,38.125
0.0036,292.00391,38.162369,2992250,40.9,0.56,4.46,0.04,245.61,0.18,0.24,0.03,-0.167,0.075,30,7,Simbad,292.00391,38.162369,292.00391,38.16237,2992250, ,5166,2.54,-0.5,14.072,2.504,0.00126,1834.555,0.574,DSEP,,1,Simbad,292.00391,38.16237
0.0036,292.02216,38.104099,2992350,45.9,0.6,4.72,0.04,242.77,0.16,0.31,0.03,-0.038,0.064,35,8,Simbad,292.02216,38.104099,292.02216,38.1041,2992350, ,4860,2.583,-0.18,12.064,2.03,0.00163,667.806,0.396,DSEP,,1,Simbad,292.02216,38.1041
0.0036,292.06616,38.153419,2992573,43.1,0.58,4.54,0.04,286.96,0.17,0.32,0.04,-0.073,0.049,30,7,Simbad,292.06616,38.153419,292.06616,38.15342,2992573, ,5036,2.558,0.07,15.519,3.172,0.0012,2500.397,0.581,DSEP,,1,Simbad,292.06616,38.15342
0.0072,292.81659,38.154678,2996019,31.5,0.49,3.87,0.03,313.85,0.15,0.37,0.04,-0.151,0.052,10,7,Simbad,292.81659,38.154678,292.81659,38.15468,2996019, ,4688,2.419,0.21,17.318,2.868,7.78E-04,2377.484,0.615,DSEP,,1,Simbad,292.81659,38.15468
0,292.83652,38.17305,2996112,31.2,0.49,3.92,0.04,323.75,0.26,0.35,0.04,-0.032,0.084,60,15,Simbad,292.83652,38.17305,292.83652,38.17305,2996112, ,4934,2.412,0.07,18.948,3.379,7.00E-04,2539.311,0.616,DSEP,,1,Simbad,292.83652,38.17305
0.0036,293.35071,38.143711,2998532,105,1.24,9.36,0.04,75.11,0.04,0.12,0.02,0.199,0.073,280,15,Simbad,293.35071,38.143711,293.35071,38.14371,2998532, ,4812,2.935,0.1,7.195,1.623,0.00614,1492.457,0.614,DSEP,,1,Simbad,293.35071,38.14371
0.0036,294.29953,38.114521,3003053,86.3,1.07,8.09,0.05,72.44,0.05,0.12,0.02,0.2,0.127,220,16,Simbad,294.29953,38.114521,294.29953,38.11452,3003053, ,5210,2.845,0.07,10.731,2.938,0.00335,3753.243,0.698,DSEP,,1,Simbad,294.29953,38.11452
0.0036,285.42493,38.271889,3096636,153.3,1.94,12.78,0.07,81.78,0.07,0.17,0.02,0.296,0.068,220,18,Simbad,285.42493,38.271889,285.42493,38.27189,3096636, ,5151,3.117,-0.24,6.227,1.852,0.0108,2197.653,0.384,DSEP,,1,Simbad,285.42493,38.27189
0.0036,285.6254,38.235111,3097183,75.4,0.91,6.96,0.04,70.82,0.03,0.13,0.02,0.198,0.089,160,13,Simbad,285.6254,38.235111,285.6254,38.23511,3097183, ,4921,2.781,-0.24,8.674,1.659,0.00358,2756.915,0.389,DSEP,,1,Simbad,285.6254,38.23511
0.0072,285.63022,38.222118,3097194,30.5,0.5,3.97,0.04,330.68,0.26,0.32,0.05,-0.027,0.077,20,7,Simbad,285.63022,38.222118,285.63022,38.22212,3097194, ,5007,2.658,-0.6,9.479,1.493,0.00247,2169.048,0.389,DSEP,,1,Simbad,285.63022,38.22212
0.0036,285.87085,38.279881,3097819,161.1,1.88,12.7,0.06,81.55,0.08,0.12,0.02,0.203,0.074,270,20,Simbad,285.87085,38.279881,285.87085,38.27988,3097819, ,4797,3.115,0.56,6.517,2.017,0.0103,1923.56,0.393,DSEP,,1,Simbad,285.87085,38.27988
0.0072,285.95618,38.211578,3098045,34.3,0.52,4.15,0.04,280.36,0.14,0.26,0.03,0.256,0.057,25,7,Simbad,285.95618,38.211578,285.95618,38.21158,3098045, ,4847,2.446,-0.34,13.912,1.972,0.00103,2148.597,0.396,DSEP,,1,Simbad,285.95618,38.21158
0.0036,285.99918,38.254219,3098179,137.8,1.66,11.99,0.05,80.88,0.02,0.13,0.02,0.216,0.024,320,12,Simbad,285.99918,38.254219,285.99918,38.25422,3098179, ,4813,3.053,-0.16,4.719,0.918,0.0123,917.646,0.375,DSEP,,1,Simbad,285.99918,38.25422
0.0036,286.62668,38.259991,3099949,33.1,0.52,4.11,0.04,328.01,0.24,0.38,0.04,0.022,0.075,30,7,Simbad,286.62668,38.259991,286.62668,38.25999,3099949, ,4847,2.446,-0.34,13.912,1.972,0.00103,2284.303,0.41,DSEP,,1,Simbad,286.62668,38.25999
0.0036,286.66202,38.234459,3100053,30.3,0.5,3.94,0.04,316.03,0.19,0.31,0.04,0.022,0.066,30,7,Simbad,286.66202,38.234459,286.66202,38.23446,3100053, ,4734,2.368,-0.18,15.451,2.032,7.76E-04,2593.873,0.411,DSEP,,1,Simbad,286.66202,38.23446
0.0036,286.6976,38.286949,3100164,90.98,1.14,8.61,0.05,74.15,0.03,0.12,0.02,0.005,0.074,250,14,Simbad,286.6976,38.286949,286.6976,38.28695,3100164, ,5122,2.886,0.07,9.828,2.707,0.00402,3847.181,0.411,DSEP,,1,Simbad,286.6976,38.28695
0.0072,287.01556,38.269192,3101090,31.4,0.49,3.88,0.03,322.56,0.11,0.34,0.04,-0.028,0.034,30,7,Simbad,287.01556,38.269192,287.01556,38.26919,3101090, ,4707,2.404,-0.06,14.976,2.075,8.70E-04,1775.992,0.418,DSEP,,1,Simbad,287.01556,38.26919
0.0072,287.28546,38.216648,3101815,34,0.52,4.15,0.04,332.34,0.31,0.24,0.03,-0.224,0.092,30,7,Simbad,287.28546,38.216648,287.28546,38.21665,3101815, ,5013,2.461,0.07,17.83,3.353,8.33E-04,3928.072,0.425,DSEP,,1,Simbad,287.28546,38.21665
0.0036,287.51367,38.297771,3102479,38.3,0.54,4.27,0.04,316.08,0.21,0.26,0.03,-0.155,0.057,30,7,Simbad,287.51367,38.297771,287.51367,38.29777,3102479, ,4729,2.493,0.21,15.567,2.748,0.00103,2232.796,0.43,DSEP,,1,Simbad,287.51367,38.29777
0.0036,289.7272,38.216679,3109742,101.5,1.23,9.16,0.05,71.92,0.06,0.14,0.02,0.368,0.112,230,18,Simbad,289.7272,38.216679,289.7272,38.21668,3109742, ,5038,2.919,-0.24,7.825,1.854,0.00545,2965.054,0.493,DSEP,,1,Simbad,289.7272,38.21668
0,289.8093,38.23576,3110056,35.2,0.52,4.16,0.04,277.3,0.23,0.32,0.04,-0.108,0.085,30,7,Simbad,289.8093,38.23576,289.8093,38.23576,3110056, ,4758,2.462,-0.1,13.956,2.06,0.00107,3146.328,0.495,DSEP,,1,Simbad,289.8093,38.23576
0.0036,290.00571,38.281811,3110846,31.3,0.51,4.01,0.04,293.88,0.3,0.24,0.03,-0.253,0.12,30,7,Simbad,290.00571,38.281811,290.00571,38.28181,3110846, ,4796,2.429,-0.24,14.325,2.009,9.63E-04,4468.409,0.501,DSEP,,1,Simbad,290.00571,38.28181
0.0036,290.15897,38.207401,3111456,199.8,2.69,15.58,0.09,86.68,0.07,0.17,0.02,0.283,0.05,320,18,Simbad,290.15897,38.207401,290.15897,38.2074,3111456, ,5069,3.23,-0.1,5.124,1.626,0.017,1793.903,0.506,DSEP,,1,Simbad,290.15897,38.2074
0.0072,290.26022,38.215038,3111831,123.2,1.43,10.41,0.05,78.51,0.06,0.13,0.02,0.252,0.088,380,18,Simbad,290.26022,38.215038,290.26022,38.21504,3111831, ,4727,2.991,0.36,6.842,1.673,0.00736,1955.519,0.51,DSEP,,1,Simbad,290.26022,38.21504
0.0036,290.41559,38.247711,3112405,33.8,0.49,3.87,0.03,249.87,0.19,0.26,0.03,-0.053,0.107,40,10,Simbad,290.41559,38.247711,290.41559,38.24771,3112405, ,4742,2.42,-0.12,14.632,2.054,9.23E-04,3129.235,0.515,DSEP,,1,Simbad,290.41559,38.24771
0.0036,290.73346,38.267811,3113648,86.97,1.05,8.1,0.04,73.95,0.05,0.12,0.02,-0.089,0.108,880,26,Simbad,290.73346,38.267811,290.73346,38.26781,3113648, ,4663,2.845,0.22,7.553,1.455,0.00476,1708.33,0.522,DSEP,,1,Simbad,290.73346,38.26781
0.0036,290.77734,38.242119,3113811,43.7,0.59,4.62,0.04,298.4,0.21,0.32,0.04,-0.001,0.055,60,15,Simbad,290.77734,38.242119,290.77734,38.24212,3113811, ,4865,2.561,-0.22,12.318,2.015,0.00152,3774.462,0.528,DSEP,,1,Simbad,290.77734,38.24212
0.0036,291.14551,38.231361,3115292,150.6,1.79,12.35,0.06,80.46,0.1,0.13,0.02,0.282,0.11,320,22,Simbad,291.14551,38.231361,291.14551,38.23136,3115292, ,5028,3.097,0.16,6.857,2.142,0.00936,2408.244,0.542,DSEP,,1,Simbad,291.14551,38.23136
0.0036,291.46985,38.235439,3116604,90.7,1.03,7.67,0.04,253.8,0.18,0.22,0.03,-0.111,0.032,30,7,Simbad,291.46985,38.235439,291.46985,38.23544,3116604, ,4970,2.868,0.21,9.675,2.521,0.00392,2828.11,0.554,DSEP,,1,Simbad,291.46985,38.23544
0.0036,291.52167,38.272129,3116848,34.7,0.52,4.11,0.04,289.88,0.21,0.32,0.04,-0.12,0.075,35,8,Simbad,291.52167,38.272129,291.52167,38.27213,3116848, ,4894,2.449,0.21,18.212,3.397,7.92E-04,2727.935,0.555,DSEP,,1,Simbad,291.52167,38.27213
0.0036,291.56226,38.252659,3117024,36.7,0.51,4.03,0.03,256.53,0.15,0.23,0.03,-0.009,0.068,30,7,Simbad,291.56226,38.252659,291.56226,38.25266,3117024, ,4785,2.448,0.36,18.231,3.4,7.90E-04,3937.582,0.558,DSEP,,1,Simbad,291.56226,38.25266
