angDist,_RAJ2000,_DEJ2000,KIC,numax,e_numax,Dnu,e_Dnu,DPi1,e_DPi1,q,e_q,eps,e_eps,dnurot,e_dnurot,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE
0.0036,292.00571,37.299839,1723752,196.84,2.41,15.03,0.07,83.8,0.11,0.16,0.02,0.296,0.085,590,27,Simbad,292.00571,37.299839,292.00571,37.29984,1723752, ,4960,3.213,-0.1,4.739,1.34,0.0177,978.871,0.511,DSEP,,1,Simbad,292.00571,37.29984
0.0036,292.01883,37.231911,1723843,111,1.27,9.46,0.04,72.84,0.05,0.14,0.02,0.256,0.093,480,18,Simbad,292.01883,37.231911,292.01883,37.23191,1723843, ,4911,2.958,-0.2,6.312,1.318,0.00739,1146.016,0.547,DSEP,,1,Simbad,292.01883,37.23191
0.0036,292.2338,37.273029,1724879,40.03,0.57,4.49,0.04,289.89,0.29,0.24,0.03,-0.025,0.095,15,7,Simbad,292.2338,37.273029,292.2338,37.27303,1724879, ,5019,2.539,0.07,15.887,3.185,0.00112,1549.873,0.598,DSEP,,1,Simbad,292.2338,37.27303
0.0072,292.29404,37.225182,1725190,97.98,1.05,7.87,0.04,216.5,0.43,0.25,0.03,0.081,0.103,60,15,Simbad,292.29404,37.225182,292.29404,37.22518,1725190, ,5043,2.929,0.07,8.905,2.459,0.0049,495.871,0.311,DSEP,,1,Simbad,292.29404,37.22518
0,292.52139,37.29641,1726291,150.1,1.85,12.92,0.06,82.59,0.08,0.15,0.02,0.228,0.088,500,21,Simbad,292.52139,37.29641,292.52139,37.29641,1726291, ,4850,3.079,-0.24,4.497,0.885,0.0137,1089.987,0.549,DSEP,,1,Simbad,292.52139,37.29641
0,290.6611,37.33741,1864959,40.09,0.57,4.5,0.04,307.79,0.37,0.22,0.03,-0.05,0.098,22,7,Simbad,290.6611,37.33741,290.6611,37.33741,1864959, ,4998,2.524,0.07,16.187,3.192,0.00106,663.961,0.386,DSEP,,1,Simbad,290.6611,37.33741
0.0036,290.69693,37.310291,1865102,82.29,1.04,7.96,0.04,73.82,0.05,0.12,0.02,0.113,0.108,90,15,Simbad,290.69693,37.310291,290.69693,37.31029,1865102, ,4857,2.826,-0.12,8.007,1.566,0.0043,2892.923,0.548,DSEP,,1,Simbad,290.69693,37.31029
0.0072,291.33087,37.311192,1867706,105.18,1.17,8.79,0.04,83,0.07,0.15,0.02,0.283,0.099,275,18,Simbad,291.33087,37.311192,291.33087,37.31119,1867706, ,4817,2.932,0.16,7.545,1.775,0.00582,961.17,0.491,DSEP,,1,Simbad,291.33087,37.31119
0.0036,291.41614,37.367279,1868101,31.6,0.48,3.8,0.03,302.49,0.21,0.29,0.03,-0.154,0.077,20,7,Simbad,291.41614,37.367279,291.41614,37.36728,1868101, ,4633,2.371,0.36,18.459,2.921,6.54E-04,2298.381,0.575,DSEP,,1,Simbad,291.41614,37.36728
0.0036,291.88049,37.347481,1870196,190.89,2.33,14.94,0.07,85.04,0.05,0.15,0.02,0.235,0.039,340,16,Simbad,291.88049,37.347481,291.88049,37.34748,1870196, ,4895,3.204,0.1,5.048,1.488,0.0163,1135.373,0.539,DSEP,,1,Simbad,291.88049,37.34748
0,292.43213,37.37471,1872842,40.87,0.56,4.44,0.04,279.94,0.19,0.2,0.03,-0.016,0.062,20,7,Simbad,292.43213,37.37471,292.43213,37.37471,1872842, ,4766,2.524,-0.26,11.211,1.532,0.00153,1350.9,0.586,DSEP,,1,Simbad,292.43213,37.37471
0.0036,286.25024,37.482311,1995859,46,0.61,4.76,0.04,321.22,0.22,0.31,0.03,-0.112,0.048,25,7,Simbad,286.25024,37.482311,286.25024,37.48231,1995859, ,4854,2.585,-0.16,12.055,2.038,0.00164,1238.433,0.406,DSEP,,1,Simbad,286.25024,37.48231
0,286.31207,37.48587,1996078,82.92,1.01,7.8,0.04,71.57,0.03,0.14,0.02,-0.072,0.085,590,17,Simbad,286.31207,37.48587,286.31207,37.48587,1996078, ,4800,2.83,-0.04,7.792,1.497,0.00446,2051.224,0.413,DSEP,,1,Simbad,286.31207,37.48587
0.0036,286.41373,37.427319,1996415,125.8,1.5,10.83,0.05,79.11,0.03,0.14,0.02,0.312,0.04,450,15,Simbad,286.41373,37.427319,286.41373,37.42732,1996415, ,4758,3.017,0.22,6.314,1.513,0.00847,1684.499,0.416,DSEP,,1,Simbad,286.41373,37.42732
0.0036,290.52838,37.445339,2010702,29.31,0.51,4.08,0.04,321.91,0.18,0.25,0.04,-0.224,0.067,20,7,Simbad,290.52838,37.445339,290.52838,37.44534,2010702, ,5148,2.389,-0.5,17.748,2.812,7.08E-04,7102.727,0.538,DSEP,,1,Simbad,290.52838,37.44534
0.0036,290.82483,37.470871,2011891,113.29,1.3,9.79,0.04,76.78,0.03,0.13,0.02,0.235,0.043,280,13,Simbad,290.82483,37.470871,290.82483,37.47087,2011891, ,4713,2.961,0.32,6.969,1.621,0.00674,980.817,0.482,DSEP,,1,Simbad,290.82483,37.47087
0.0036,291.19104,37.494041,2013502,60.58,0.74,5.72,0.04,232.5,0.12,0.25,0.03,-0.102,0.041,25,7,Simbad,291.19104,37.494041,291.19104,37.49404,2013502, ,4932,2.687,0.07,12.22,2.651,0.00205,1886.839,0.56,DSEP,,1,Simbad,291.19104,37.49404
0.0036,291.93814,37.452789,2016676,80.63,0.91,6.89,0.04,256.36,0.28,0.25,0.03,-0.087,0.055,50,12,Simbad,291.93814,37.452789,291.93814,37.45279,2016676, ,4956,2.82,0.07,10.102,2.459,0.00336,1358.185,0.567,DSEP,,1,Simbad,291.93814,37.45279
0,291.94449,37.46106,2016706,38.13,0.55,4.32,0.04,260.91,0.14,0.21,0.03,0.005,0.053,30,7,Simbad,291.94449,37.46106,291.94449,37.46106,2016706, ,4795,2.498,0.07,15.36,2.709,0.00105,1288.123,0.56,DSEP,,1,Simbad,291.94449,37.46106
0.0072,291.98853,37.421928,2016978,75.24,0.94,7.27,0.04,71.24,0.03,0.15,0.02,0.33,0.09,280,14,Simbad,291.98853,37.421928,291.98853,37.42193,2016978, ,4748,2.779,0.07,8.584,1.617,0.0036,2195.518,0.599,DSEP,,1,Simbad,291.98853,37.42193
0.0036,292.3443,37.468941,2018537,182.17,2.14,13.89,0.06,80.76,0.07,0.11,0.02,0.275,0.061,300,19,Simbad,292.3443,37.468941,292.3443,37.46894,2018537, ,4854,3.182,0.28,5.472,1.661,0.0143,1163.456,0.555,DSEP,,1,Simbad,292.3443,37.46894
0.0072,292.35861,37.470638,2018585,86.86,1.1,8.42,0.04,74.56,0.03,0.14,0.02,0.272,0.071,246,13,Simbad,292.35861,37.470638,292.35861,37.47064,2018585, ,5039,2.861,-0.22,8.723,2.013,0.00427,2628.652,0.616,DSEP,,1,Simbad,292.35861,37.47064
0.0072,292.74557,37.450668,2020383,106.33,1.32,9.47,0.06,75.98,0.02,0.12,0.02,0.264,0.041,400,14,Simbad,292.74557,37.450668,292.74557,37.45067,2020383, ,4904,2.933,-0.46,5.201,0.846,0.00847,1713.844,0.623,DSEP,,1,Simbad,292.74557,37.45067
3.519305,292.74557,37.450668,2020383,106.33,1.32,9.47,0.06,75.98,0.02,0.12,0.02,0.264,0.041,400,14,Simbad,292.74557,37.450668,292.74652,37.45129,2020387, ,6078,4.487,-0.16,0.96,1.032,1.64,625.857,0.386,DSEP,,1,Simbad,292.74652,37.45129
0.0036,292.92142,37.486961,2021216,187.32,2.45,14.43,0.08,83.91,0.1,0.14,0.02,0.253,0.074,190,21,Simbad,292.92142,37.486961,292.92142,37.48696,2021216, ,4889,3.186,-0.26,3.964,0.88,0.0199,1211.026,0.58,DSEP,,1,Simbad,292.92142,37.48696
0,285.93475,37.57634,2140446,57.44,0.73,5.7,0.04,61.03,0.02,0.14,0.02,0.049,0.081,,,Simbad,285.93475,37.57634,285.93475,37.57634,2140446, ,4636,2.652,0.3,11.116,2.019,0.00207,1496.093,0.402,DSEP,,1,Simbad,285.93475,37.57634
0.0036,286.11801,37.560169,2140982,34.8,0.52,4.12,0.04,256.16,0.11,0.21,0.03,-0.472,0.048,20,7,Simbad,286.11801,37.560169,286.11801,37.56017,2140982, ,4875,2.456,-0.72,9.675,0.976,0.00152,854.074,0.375,DSEP,,1,Simbad,286.11801,37.56017
0.0072,286.21851,37.520748,2141255,147.9,1.78,12.4,0.06,81.15,0.04,0.15,0.02,0.195,0.046,540,17,Simbad,286.21851,37.520748,286.21851,37.52075,2141255, ,4919,3.084,-0.16,5.278,1.232,0.0118,1318.405,0.407,DSEP,,1,Simbad,286.21851,37.52075
0.0072,286.27277,37.572922,2141436,111.54,1.36,10.08,0.05,77.68,0.04,0.13,0.02,0.233,0.054,330,15,Simbad,286.27277,37.572922,286.27277,37.57292,2141436, ,4951,2.958,-0.14,6.985,1.617,0.00669,2322.901,0.411,DSEP,,1,Simbad,286.27277,37.57292
0,290.71814,37.58593,2156988,29.7,0.49,3.92,0.04,286.48,0.23,0.28,0.04,-0.224,0.094,30,7,Simbad,290.71814,37.58593,290.71814,37.58593,2156988, ,4912,2.391,0.07,19.847,3.535,6.37E-04,4130.741,0.542,DSEP,,1,Simbad,290.71814,37.58593
0.0036,290.86438,37.574959,2157650,139.01,1.61,11.39,0.05,77.54,0.08,0.15,0.02,0.273,0.094,600,24,Simbad,290.86438,37.574959,290.86438,37.57496,2157650, ,4835,3.049,0.22,6.477,1.713,0.00888,1722.867,0.543,DSEP,,1,Simbad,290.86438,37.57496
0,291.44821,37.57177,2160161,45.7,0.6,4.68,0.04,276.86,0.29,0.25,0.03,0.027,0.089,40,10,Simbad,291.44821,37.57177,291.44821,37.57177,2160161, ,4778,2.571,0.21,14.503,2.853,0.00132,2173.87,0.571,DSEP,,1,Simbad,291.44821,37.57177
0.0036,291.53323,37.592781,2160572,31.4,0.5,3.96,0.04,245.27,0.12,0.25,0.03,-0.012,0.067,25,7,Simbad,291.53323,37.592781,291.53323,37.59278,2160572, ,4961,2.426,0.07,18.621,3.374,7.36E-04,1884.498,0.571,DSEP,,1,Simbad,291.53323,37.59278
